"","Predator","Prey"
"126","Triturus carnifex","Lissotriton helveticus"
"127","Triturus carnifex","Lissotriton italicus"
"128","Triturus carnifex","Triturus karelinii"
"129","Triturus carnifex","Triturus marmoratus"
"130","Triturus carnifex","Lissotriton montandoni"
"131","Triturus carnifex","Triturus pygmaeus"
"132","Triturus carnifex","Ommatotriton vittatus"
"133","Triturus carnifex","Lissotriton vulgaris"
"134","Triturus carnifex","Pelophylax caralitanus"
"135","Triturus carnifex","Ommatotriton ophryticus"
"136","Triturus carnifex","Calotriton arnoldi"
"137","Triturus carnifex","Bufotes boulengeri"
"138","Triturus carnifex","Bufotes variabilis"
"139","Triturus carnifex","Triturus macedonicus"
"140","Lissotriton italicus","Bombina bombina"
"141","Lissotriton italicus","Bombina pachypus"
"142","Lissotriton italicus","Bombina variegata"
"143","Lissotriton italicus","Bufo bufo"
"144","Lissotriton italicus","Epidalea calamita"
"145","Lissotriton italicus","Bufo verrucosissimus"
"146","Lissotriton italicus","Bufotes viridis"
"147","Lissotriton italicus","Discoglossus galganoi"
"148","Lissotriton italicus","Discoglossus jeanneae"
"149","Lissotriton italicus","Discoglossus montalentii"
"150","Lissotriton italicus","Discoglossus pictus"
"151","Lissotriton italicus","Discoglossus sardus"
"152","Lissotriton italicus","Calotriton asper"
"153","Lissotriton italicus","Hyla arborea"
"154","Lissotriton italicus","Hyla intermedia"
"155","Lissotriton italicus","Hyla meridionalis"
"156","Lissotriton italicus","Hyla sarda"
"157","Lissotriton italicus","Hyla savignyi"
"158","Lissotriton italicus","Neurergus crocatus"
"159","Lissotriton italicus","Neurergus strauchii"
"160","Lissotriton italicus","Pelobates cultripes"
"161","Lissotriton italicus","Pelobates fuscus"
"162","Lissotriton italicus","Pelobates syriacus"
"163","Lissotriton italicus","Pelodytes caucasicus"
"164","Lissotriton italicus","Pelodytes ibericus"
"165","Lissotriton italicus","Pelodytes punctatus"
"166","Lissotriton italicus","Pleurodeles waltl"
"167","Lissotriton italicus","Rana arvalis"
"168","Lissotriton italicus","Pelophylax bedriagae"
"169","Lissotriton italicus","Pelophylax bergeri"
"170","Lissotriton italicus","Pelophylax cerigensis"
"171","Lissotriton italicus","Pelophylax cretensis"
"172","Lissotriton italicus","Rana dalmatina"
"173","Lissotriton italicus","Pelophylax epeiroticus"
"174","Lissotriton italicus","Pelophylax lessonae"
"175","Lissotriton italicus","Rana graeca"
"176","Lissotriton italicus","Rana iberica"
"177","Lissotriton italicus","Rana italica"
"178","Lissotriton italicus","Pelophylax kurtmuelleri"
"179","Lissotriton italicus","Rana latastei"
"180","Lissotriton italicus","Rana macrocnemis"
"181","Lissotriton italicus","Pelophylax perezi"
"182","Lissotriton italicus","Rana pyrenaica"
"183","Lissotriton italicus","Pelophylax ridibundus"
"184","Lissotriton italicus","Pelophylax shqipericus"
"185","Lissotriton italicus","Rana tavasensis"
"186","Lissotriton italicus","Rana temporaria"
"187","Lissotriton italicus","Salamandrella keyserlingii"
"188","Lissotriton italicus","Salamandrina perspicillata"
"189","Lissotriton italicus","Salamandrina terdigitata"
"190","Lissotriton italicus","Ichthyosaura alpestris"
"191","Lissotriton italicus","Lissotriton boscai"
"192","Lissotriton italicus","Triturus carnifex"
"193","Lissotriton italicus","Triturus cristatus"
"194","Lissotriton italicus","Triturus dobrogicus"
"195","Lissotriton italicus","Lissotriton helveticus"
"196","Lissotriton italicus","Lissotriton italicus"
"197","Lissotriton italicus","Triturus karelinii"
"198","Lissotriton italicus","Triturus marmoratus"
"199","Lissotriton italicus","Lissotriton montandoni"
"200","Lissotriton italicus","Triturus pygmaeus"
"201","Lissotriton italicus","Ommatotriton vittatus"
"202","Lissotriton italicus","Lissotriton vulgaris"
"203","Lissotriton italicus","Pelophylax caralitanus"
"204","Lissotriton italicus","Ommatotriton ophryticus"
"205","Lissotriton italicus","Calotriton arnoldi"
"206","Lissotriton italicus","Bufotes boulengeri"
"207","Lissotriton italicus","Bufotes variabilis"
"208","Lissotriton italicus","Triturus macedonicus"
"209","Ixobrychus minutus","Troglodytes troglodytes"
"210","Ixobrychus minutus","Cettia cetti"
"211","Ixobrychus minutus","Locustella lanceolata"
"212","Ixobrychus minutus","Locustella naevia"
