"","Species","Class","Order","Family","Genus"
"210","Afrotyphlops lineolatus","Reptilia","Squamata","Typhlopidae","Afrotyphlops"
"211","Atelerix albiventris","Mammalia","Erinaceomorpha","Erinaceidae","Atelerix"
"212","Tachybaptus ruficollis","Aves","Podicipediformes","Podicipedidae","Tachybaptus"
"213","Scopus umbretta","Aves","Pelecaniformes","Scopidae","Scopus"
"214","Ardea cinerea","Aves","Pelecaniformes","Ardeidae","Ardea"
"215","Phoeniconaias minor","Aves","Phoenicopteriformes","Phoenicopteridae","Phoeniconaias"
"216","Eupodotis senegalensis","Aves","Otidiformes","Otididae","Eupodotis"
"217","Numida meleagris","Aves","Galliformes","Numididae","Numida"
"218","Heterohyrax brucei","Mammalia","Hyracoidea","Procaviidae","Heterohyrax"
"219","Asio capensis","Aves","Strigiformes","Strigidae","Asio"
"220","Aquila spilogaster","Aves","Accipitriformes","Accipitridae","Aquila"
"221","Bubo lacteus","Aves","Strigiformes","Strigidae","Bubo"
"222","Terathopius ecaudatus","Aves","Accipitriformes","Accipitridae","Terathopius"
"223","Stephanoaetus coronatus","Aves","Accipitriformes","Accipitridae","Stephanoaetus"
"224","Polemaetus bellicosus","Aves","Accipitriformes","Accipitridae","Polemaetus"
"225","Helogale parvula","Mammalia","Carnivora","Herpestidae","Helogale"
"226","Galerella sanguinea","Mammalia","Carnivora","Herpestidae","Galerella"
"227","Ictonyx striatus","Mammalia","Carnivora","Mustelidae","Ictonyx"
"228","Mungos mungo","Mammalia","Carnivora","Herpestidae","Mungos"
"229","Nandinia binotata","Mammalia","Carnivora","Nandiniidae","Nandinia"
"230","Genetta tigrina","Mammalia","Carnivora","Viverridae","Genetta"
"231","Genetta genetta","Mammalia","Carnivora","Viverridae","Genetta"
"232","Atilax paludinosus","Mammalia","Carnivora","Herpestidae","Atilax"
"233","Herpestes ichneumon","Mammalia","Carnivora","Herpestidae","Herpestes"
"234","Ichneumia albicauda","Mammalia","Carnivora","Herpestidae","Ichneumia"
"235","Felis silvestris","Mammalia","Carnivora","Felidae","Felis"
"236","Necrosyrtes monachus","Aves","Accipitriformes","Accipitridae","Necrosyrtes"
"237","Aquila rapax","Aves","Accipitriformes","Accipitridae","Aquila"
"238","Pronolagus rupestris","Mammalia","Lagomorpha","Leporidae","Pronolagus"
"239","Lepus victoriae","Mammalia","Lagomorpha","Leporidae","Lepus"
"240","Procavia capensis","Mammalia","Hyracoidea","Procaviidae","Procavia"
"241","Haliaeetus vocifer","Aves","Accipitriformes","Accipitridae","Haliaeetus"
"242","Gallus gallus","Aves","Galliformes","Phasianidae","Gallus"
"243","Cairina moschata","Aves","Anseriformes","Anatidae","Cairina"
"244","Otolemur crassicaudatus","Mammalia","Primates","Galagidae","Otolemur"
"245","Galago senegalensis","Mammalia","Primates","Galagidae","Galago"
"246","Erythrocebus patas","Mammalia","Primates","Cercopithecidae","Erythrocebus"
"247","Chlorocebus aethiops","Mammalia","Primates","Cercopithecidae","Chlorocebus"
"248","Papio anubis","Mammalia","Primates","Cercopithecidae","Papio"
"249","Leptoptilos crumeniferus","Aves","Ciconiiformes","Ciconiidae","Leptoptilos"
"250","Bucorvus leadbeateri","Aves","Bucerotiformes","Bucorvidae","Bucorvus"
"251","Sagittarius serpentarius","Aves","Accipitriformes","Sagittariidae","Sagittarius"
"252","Felis catus","Mammalia","Carnivora","Felidae","Felis"
"253","Otocyon megalotis","Mammalia","Carnivora","Canidae","Otocyon"
"254","Hydrictis maculicollis","Mammalia","Carnivora","Mustelidae","Hydrictis"
"255","Stigmochelys pardalis","Reptilia","Testudines","Testudinidae","Stigmochelys"
"256","Kinixys spekii","Reptilia","Testudines","Testudinidae","Kinixys"
"257","Malacochersus tornieri","Reptilia","Testudines","Testudinidae","Malacochersus"
"258","Pelomedusa subrufa","Reptilia","Testudines","Pelomedusidae","Pelomedusa"
"259","Gyps africanus","Aves","Accipitriformes","Accipitridae","Gyps"
"260","Gyps rueppellii","Aves","Accipitriformes","Accipitridae","Gyps"
"261","Torgos tracheliotus","Aves","Accipitriformes","Accipitridae","Torgos"
"262","Varanus niloticus","Reptilia","Squamata","Varanidae","Varanus"
"263","Ardeotis kori","Aves","Otidiformes","Otididae","Ardeotis"
"264","Colobus guereza","Mammalia","Primates","Cercopithecidae","Colobus"
"265","Cercopithecus mitis","Mammalia","Primates","Cercopithecidae","Cercopithecus"
"266","Canis mesomelas","Mammalia","Carnivora","Canidae","Canis"
"267","Canis aureus","Mammalia","Carnivora","Canidae","Canis"
"268","Civettictis civetta","Mammalia","Carnivora","Viverridae","Civettictis"
"269","Canis adustus","Mammalia","Carnivora","Canidae","Canis"
"270","Mellivora capensis","Mammalia","Carnivora","Mustelidae","Mellivora"
"271","Proteles cristata","Mammalia","Carnivora","Hyaenidae","Proteles"
"272","Manis temminckii","Mammalia","Pholidota","Manidae","Manis"
"273","Leptailurus serval","Mammalia","Carnivora","Felidae","Leptailurus"
"274","Caracal caracal","Mammalia","Carnivora","Felidae","Caracal"
"275","Aonyx capensis","Mammalia","Carnivora","Mustelidae","Aonyx"
"276","Madoqua kirkii","Mammalia","Artiodactyla","Bovidae","Madoqua"
"277","Raphicerus campestris","Mammalia","Artiodactyla","Bovidae","Raphicerus"
"278","Oreotragus oreotragus","Mammalia","Artiodactyla","Bovidae","Oreotragus"
"279","Tragelaphus scriptus","Mammalia","Artiodactyla","Bovidae","Tragelaphus"
"280","Tragelaphus imberbis","Mammalia","Artiodactyla","Bovidae","Tragelaphus"
"281","Hystrix cristata","Mammalia","Rodentia","Hystricidae","Hystrix"
"282","Hystrix africaeaustralis","Mammalia","Rodentia","Hystricidae","Hystrix"
"283","Ourebia ourebi","Mammalia","Artiodactyla","Bovidae","Ourebia"
"284","Sylvicapra grimmia","Mammalia","Artiodactyla","Bovidae","Sylvicapra"
"285","Eudorcas thomsonii","Mammalia","Artiodactyla","Bovidae","Eudorcas"
"286","Aepyceros melampus","Mammalia","Artiodactyla","Bovidae","Aepyceros"
"287","Nanger granti","Mammalia","Artiodactyla","Bovidae","Nanger"
"288","Lycaon pictus","Mammalia","Carnivora","Canidae","Lycaon"
"289","Acinonyx jubatus","Mammalia","Carnivora","Felidae","Acinonyx"
"290","Dendroaspis polylepis","Reptilia","Squamata","Elapidae","Dendroaspis"
"291","Python natalensis","Reptilia","Squamata","Pythonidae","Python"
"292","Canis lupus","Mammalia","Carnivora","Canidae","Canis"
"293","Hyaena hyaena","Mammalia","Carnivora","Hyaenidae","Hyaena"
"294","Capra hircus","Mammalia","Artiodactyla","Bovidae","Capra"
"295","Orycteropus afer","Mammalia","Tubulidentata","Orycteropodidae","Orycteropus"
"296","Panthera pardus","Mammalia","Carnivora","Felidae","Panthera"
"297","Crocuta crocuta","Mammalia","Carnivora","Hyaenidae","Crocuta"
"298","Ovis aries","Mammalia","Artiodactyla","Bovidae","Ovis"
"299","Redunca redunca","Mammalia","Artiodactyla","Bovidae","Redunca"
"300","Phacochoerus aethiopicus","Mammalia","Artiodactyla","Suidae","Phacochoerus"
"301","Potamochoerus porcus","Mammalia","Artiodactyla","Suidae","Potamochoerus"
"302","Homo sapiens","Mammalia","Primates","Hominidae","Homo"
"303","Struthio camelus","Aves","Struthioniformes","Struthionidae","Struthio"
"304","Panthera leo","Mammalia","Carnivora","Felidae","Panthera"
"305","Damaliscus lunatus","Mammalia","Artiodactyla","Bovidae","Damaliscus"
"306","Alcelaphus buselaphus","Mammalia","Artiodactyla","Bovidae","Alcelaphus"
"307","Connochaetes taurinus","Mammalia","Artiodactyla","Bovidae","Connochaetes"
"308","Kobus ellipsiprymnus","Mammalia","Artiodactyla","Bovidae","Kobus"
"309","Equus quagga","Mammalia","Perissodactyla","Equidae","Equus"
"310","Hippotragus equinus","Mammalia","Artiodactyla","Bovidae","Hippotragus"
"311","Syncerus caffer","Mammalia","Artiodactyla","Bovidae","Syncerus"
"312","Taurotragus oryx","Mammalia","Artiodactyla","Bovidae","Taurotragus"
"313","Bos taurus","Mammalia","Artiodactyla","Bovidae","Bos"
"314","Crocodylus niloticus","Reptilia","Crocodylia","Crocodylidae","Crocodylus"
"315","Giraffa camelopardalis","Mammalia","Artiodactyla","Giraffidae","Giraffa"
"316","Diceros bicornis","Mammalia","Perissodactyla","Rhinocerotidae","Diceros"
"317","Hippopotamus amphibius","Mammalia","Artiodactyla","Hippopotamidae","Hippopotamus"
"318","Loxodonta africana","Mammalia","Proboscidea","Elephantidae","Loxodonta"
