"","Predator","Prey"
"145","Tyto alba","Gallinago gallinago"
"146","Accipiter gentilis","Gallinago gallinago"
"147","Accipiter nisus","Gallinago gallinago"
"148","Accipiter nisus","Certhia familiaris"
"149","Aquila fasciata","Coloeus monedula"
"150","Accipiter gentilis","Coloeus monedula"
"151","Aquila chrysaetos","Coloeus monedula"
"152","Accipiter nisus","Coloeus monedula"
"153","Vulpes vulpes","Neomys fodiens"
"154","Aegolius funereus","Neomys fodiens"
"155","Asio otus","Neomys fodiens"
"156","Falco tinnunculus","Neomys fodiens"
"157","Vulpes vulpes","Oryctolagus cuniculus"
"158","Mustela erminea","Oryctolagus cuniculus"
"159","Martes martes","Oryctolagus cuniculus"
"160","Mustela putorius","Oryctolagus cuniculus"
"161","Meles meles","Oryctolagus cuniculus"
"162","Canis lupus","Oryctolagus cuniculus"
"163","Genetta genetta","Oryctolagus cuniculus"
"164","Mustela nivalis","Oryctolagus cuniculus"
"165","Aegypius monachus","Oryctolagus cuniculus"
"166","Bubo bubo","Oryctolagus cuniculus"
"167","Circus pygargus","Oryctolagus cuniculus"
"168","Accipiter gentilis","Oryctolagus cuniculus"
"169","Asio otus","Oryctolagus cuniculus"
"170","Aquila chrysaetos","Oryctolagus cuniculus"
"171","Falco subbuteo","Oryctolagus cuniculus"
"172","Milvus migrans","Oryctolagus cuniculus"
"173","Malpolon monspessulanus","Oryctolagus cuniculus"
"174","Hieraaetus pennatus","Oryctolagus cuniculus"
"175","Accipiter nisus","Oryctolagus cuniculus"
"176","Strix aluco","Oryctolagus cuniculus"
"177","Buteo buteo","Oryctolagus cuniculus"
"178","Milvus milvus","Oryctolagus cuniculus"
"179","Vulpes vulpes","Eliomys quercinus"
"180","Mustela erminea","Eliomys quercinus"
"181","Martes martes","Eliomys quercinus"
"182","Meles meles","Eliomys quercinus"
"183","Genetta genetta","Eliomys quercinus"
"184","Aegolius funereus","Eliomys quercinus"
"185","Bubo bubo","Eliomys quercinus"
"186","Accipiter gentilis","Eliomys quercinus"
"187","Aquila chrysaetos","Eliomys quercinus"
"188","Milvus migrans","Eliomys quercinus"
"189","Strix aluco","Eliomys quercinus"
"190","Buteo buteo","Eliomys quercinus"
"191","Vulpes vulpes","Glis glis"
"192","Ursus arctos","Glis glis"
"193","Martes martes","Glis glis"
"194","Vipera aspis","Glis glis"
"195","Meles meles","Glis glis"
"196","Canis lupus","Glis glis"
"197","Bubo bubo","Glis glis"
"198","Accipiter gentilis","Glis glis"
"199","Asio otus","Glis glis"
"200","Aquila chrysaetos","Glis glis"
"201","Sus scrofa","Glis glis"
"202","Strix aluco","Glis glis"
"203","Buteo buteo","Glis glis"
"204","Vulpes vulpes","Lepus europaeus"
"205","Mustela erminea","Lepus europaeus"
"206","Martes martes","Lepus europaeus"
"207","Genetta genetta","Lepus europaeus"
"208","Aquila chrysaetos","Lepus europaeus"
"209","Buteo buteo","Lepus europaeus"
"210","Vulpes vulpes","Chionomys nivalis"
"211","Mustela erminea","Chionomys nivalis"
"212","Aegolius funereus","Chionomys nivalis"
"213","Asio otus","Chionomys nivalis"
"214","Aquila chrysaetos","Chionomys nivalis"
"215","Vulpes vulpes","Microtus agrestis"
"216","Mustela erminea","Microtus agrestis"
"217","Coronella austriaca","Microtus agrestis"
"218","Genetta genetta","Microtus agrestis"
"219","Mustela nivalis","Microtus agrestis"
"220","Aegolius funereus","Microtus agrestis"
"221","Circus aeruginosus","Microtus agrestis"
"222","Asio otus","Microtus agrestis"
"223","Falco tinnunculus","Microtus agrestis"
"224","Buteo buteo","Microtus agrestis"
"225","Circus pygargus","Lacerta agilis"
"226","Milvus milvus","Erinaceus europaeus"
"227","Meles meles","Perdix perdix"
"228","Bubo bubo","Perdix perdix"
"229","Accipiter gentilis","Perdix perdix"
"230","Circus aeruginosus","Perdix perdix"
"231","Aquila chrysaetos","Perdix perdix"
"232","Falco tinnunculus","Perdix perdix"
"233","Vulpes vulpes","Tetrao urogallus"
"234","Martes martes","Tetrao urogallus"
"235","Meles meles","Tetrao urogallus"
"236","Accipiter gentilis","Tetrao urogallus"
"237","Aquila chrysaetos","Tetrao urogallus"
"238","Accipiter gentilis","Chroicocephalus ridibundus"
"239","Accipiter gentilis","Anas crecca"
"240","Sus scrofa","Anas crecca"
"241","Aquila chrysaetos","Pyrrhocorax graculus"
"242","Martes foina","Myodes glareolus"
"243","Martes martes","Myodes glareolus"
"244","Felis silvestris","Myodes glareolus"
"245","Meles meles","Myodes glareolus"
"246","Genetta genetta","Myodes glareolus"
"247","Mustela nivalis","Myodes glareolus"
"248","Aegolius funereus","Myodes glareolus"
"249","Tyto alba","Myodes glareolus"
"250","Accipiter gentilis","Myodes glareolus"
"251","Asio otus","Myodes glareolus"
"252","Falco tinnunculus","Myodes glareolus"
"253","Strix aluco","Myodes glareolus"
"254","Buteo buteo","Myodes glareolus"
"255","Milvus milvus","Myodes glareolus"
"256","Bubo bubo","Tyto alba"
"257","Accipiter gentilis","Tyto alba"
"258","Hieraaetus pennatus","Tyto alba"
"259","Aquila chrysaetos","Bubo bubo"
"260","Bubo bubo","Circus pygargus"
"261","Circus pygargus","Cisticola juncidis"
"262","Circus aeruginosus","Emberiza schoeniclus"
"263","Asio otus","Emberiza schoeniclus"
"264","Falco tinnunculus","Emberiza schoeniclus"
"265","Accipiter gentilis","Vanellus vanellus"
"266","Circus aeruginosus","Vanellus vanellus"
"267","Falco tinnunculus","Vanellus vanellus"
"268","Circus pygargus","Saxicola rubetra"
"269","Accipiter gentilis","Saxicola rubetra"
"270","Circus aeruginosus","Saxicola rubetra"
"271","Falco tinnunculus","Saxicola rubetra"
"272","Falco columbarius","Saxicola rubetra"
"273","Accipiter nisus","Saxicola rubetra"
"274","Felis silvestris","Scolopax rusticola"
"275","Accipiter gentilis","Scolopax rusticola"
"276","Accipiter nisus","Scolopax rusticola"
"277","Buteo buteo","Scolopax rusticola"
"278","Falco tinnunculus","Tarentola mauritanica"
"279","Circus pygargus","Burhinus oedicnemus"
"280","Bubo bubo","Fulica atra"
"281","Accipiter gentilis","Fulica atra"
"282","Circus aeruginosus","Fulica atra"
"283","Malpolon monspessulanus","Fulica atra"
"284","Falco peregrinus","Anthus spinoletta"
"285","Accipiter nisus","Anthus spinoletta"
"286","Martes foina","Regulus regulus"
"287","Aegolius funereus","Regulus regulus"
"288","Falco tinnunculus","Regulus regulus"
"289","Accipiter nisus","Regulus regulus"
"290","Accipiter gentilis","Turdus pilaris"
"291","Asio otus","Turdus pilaris"
"292","Falco tinnunculus","Turdus pilaris"
"293","Accipiter nisus","Turdus pilaris"
"294","Vulpes vulpes","Capreolus capreolus"
"295","Ursus arctos","Capreolus capreolus"
"296","Martes foina","Capreolus capreolus"
"297","Felis silvestris","Capreolus capreolus"
"298","Meles meles","Capreolus capreolus"
"299","Aquila chrysaetos","Capreolus capreolus"
"300","Meles meles","Emberiza citrinella"
"301","Circus aeruginosus","Emberiza citrinella"
"302","Asio otus","Emberiza citrinella"
"303","Falco tinnunculus","Emberiza citrinella"
"304","Lanius collurio","Emberiza citrinella"
"305","Accipiter nisus","Emberiza citrinella"
"306","Aquila fasciata","Accipiter gentilis"
"307","Bubo bubo","Accipiter gentilis"
"308","Aquila chrysaetos","Accipiter gentilis"
"309","Hieraaetus pennatus","Accipiter gentilis"
"310","Circus pygargus","Anthus pratensis"
"311","Circus aeruginosus","Anthus pratensis"
"312","Falco tinnunculus","Anthus pratensis"
"313","Falco columbarius","Anthus pratensis"
"314","Accipiter nisus","Anthus pratensis"
"315","Accipiter gentilis","Coccothraustes coccothraustes"
"316","Asio otus","Coccothraustes coccothraustes"
"317","Accipiter nisus","Coccothraustes coccothraustes"
"318","Malpolon monspessulanus","Chalcides striatus"
"319","Hieraaetus pennatus","Sylvia communis"
"320","Accipiter nisus","Sylvia communis"
"321","Aegolius funereus","Spinus spinus"
"322","Asio otus","Spinus spinus"
"323","Falco tinnunculus","Spinus spinus"
"324","Falco columbarius","Spinus spinus"
"325","Accipiter nisus","Spinus spinus"
"326","Asio otus","Phoenicurus phoenicurus"
"327","Falco tinnunculus","Phoenicurus phoenicurus"
"328","Accipiter nisus","Phoenicurus phoenicurus"
"329","Circaetus gallicus","Zamenis scalaris"
"330","Asio otus","Hypsugo savii"
"331","Bubo bubo","Asio otus"
"332","Accipiter gentilis","Asio otus"
"333","Aquila chrysaetos","Asio otus"
"334","Aquila fasciata","Sturnus unicolor"
"335","Milvus migrans","Sturnus unicolor"
"336","Hieraaetus pennatus","Sturnus unicolor"
"337","Genetta genetta","Mus spretus"
"338","Tyto alba","Mus spretus"
"339","Accipiter gentilis","Mus spretus"
"340","Asio otus","Mus spretus"
"341","Falco tinnunculus","Mus spretus"
"342","Falco tinnunculus","Pipistrellus kuhlii"
"343","Accipiter gentilis","Turdus iliacus"
"344","Asio otus","Turdus iliacus"
"345","Falco tinnunculus","Turdus iliacus"
"346","Buteo buteo","Turdus iliacus"
"347","Bubo bubo","Rattus norvegicus"
"348","Circus pygargus","Rattus norvegicus"
"349","Accipiter gentilis","Rattus norvegicus"
"350","Circus aeruginosus","Rattus norvegicus"
"351","Asio otus","Rattus norvegicus"
"352","Aquila chrysaetos","Rattus norvegicus"
"353","Falco tinnunculus","Rattus norvegicus"
"354","Milvus migrans","Rattus norvegicus"
"355","Buteo buteo","Rattus norvegicus"
"356","Meles meles","Cinclus cinclus"
"357","Accipiter gentilis","Cinclus cinclus"
"358","Accipiter nisus","Cinclus cinclus"
"359","Bubo bubo","Athene noctua"
"360","Accipiter gentilis","Athene noctua"
"361","Hieraaetus pennatus","Athene noctua"
"362","Accipiter nisus","Athene noctua"
"363","Tyto alba","Mus musculus"
"364","Circus pygargus","Mus musculus"
"365","Asio otus","Mus musculus"
"366","Falco tinnunculus","Mus musculus"
"367","Mustela vison","Mus musculus"
"368","Hieraaetus pennatus","Mus musculus"
"369","Lanius collurio","Mus musculus"
"370","Buteo buteo","Mus musculus"
"371","Accipiter gentilis","Turdus torquatus"
"372","Aquila chrysaetos","Turdus torquatus"
"373","Accipiter nisus","Turdus torquatus"
"374","Meles meles","Passer domesticus"
