"","Consumer_Class","Consumer_Order","Consumer_Family","Consumer_Genus","Consumer_Species","Resource_Class","Resource_Order","Resource_Family","Resource_Genus","Resource_Species"
"39","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"40","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"41","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"42","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
"43","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia"
"44","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus squamulatus"
"45","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Gekkonidae","Homopholis","Homopholis fasciata"
"46","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus capensis"
"47","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus manni"
"48","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Lacertidae","Heliobolus","Heliobolus spekii"
"49","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Lacertidae","Nucras","Nucras boulengeri"
"50","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Scincidae","Eumecia","Eumecia anchietae"
"51","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Scincidae","Mochlus","Mochlus sundevallii"
"52","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis maculilabris"
"53","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis striata"
"54","Aves","Passeriformes","Alaudidae","Eremopterix","Eremopterix leucopareia","Reptilia","Squamata","Scincidae","Trachylepis","Trachylepis varia"
"55","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Agamidae","Acanthocercus","Acanthocercus atricollis"
"56","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Agamidae","Agama","Agama mwanzae"
"57","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo anchietae"
"58","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Chamaeleonidae","Chamaeleo","Chamaeleo dilepis"
"59","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Gekkonidae","Chondrodactylus","Chondrodactylus turneri"
"60","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus brookii"
"61","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus mabouia"
"62","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Gekkonidae","Hemidactylus","Hemidactylus squamulatus"
"63","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Gekkonidae","Homopholis","Homopholis fasciata"
"64","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus capensis"
"65","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Gekkonidae","Lygodactylus","Lygodactylus manni"
"66","Aves","Passeriformes","Alaudidae","Mirafra","Mirafra africana","Reptilia","Squamata","Lacertidae","Heliobolus","Heliobolus spekii"
