"","Species","Class","Order","Family","Genus"
"915","Phoenicopterus roseus","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus"
"916","Lagopus lagopus","Aves","Galliformes","Phasianidae","Lagopus"
"917","Scolopax rusticola","Aves","Charadriiformes","Scolopacidae","Scolopax"
"918","Larus glaucoides","Aves","Charadriiformes","Laridae","Larus"
"919","Hydrocoloeus minutus","Aves","Charadriiformes","Laridae","Hydrocoloeus"
"920","Pagophila eburnea","Aves","Charadriiformes","Laridae","Pagophila"
"921","Xema sabini","Aves","Charadriiformes","Laridae","Xema"
"922","Alle alle","Aves","Charadriiformes","Alcidae","Alle"
"923","Uria aalge","Aves","Charadriiformes","Alcidae","Uria"
"924","Uria lomvia","Aves","Charadriiformes","Alcidae","Uria"
"925","Alca torda","Aves","Charadriiformes","Alcidae","Alca"
"926","Cepphus grylle","Aves","Charadriiformes","Alcidae","Cepphus"
"927","Fratercula arctica","Aves","Charadriiformes","Alcidae","Fratercula"
"928","Alces alces","Mammalia","Artiodactyla","Cervidae","Alces"
"929","Calomyscus urartensis","Mammalia","Rodentia","Calomyscidae","Calomyscus"
"930","Capra hircus","Mammalia","Artiodactyla","Bovidae","Capra"
"931","Capra caucasica","Mammalia","Artiodactyla","Bovidae","Capra"
"932","Capra caucasica","Mammalia","Artiodactyla","Bovidae","Capra"
"933","Capra ibex","Mammalia","Artiodactyla","Bovidae","Capra"
"934","Capra pyrenaica","Mammalia","Artiodactyla","Bovidae","Capra"
"935","Capreolus capreolus","Mammalia","Artiodactyla","Cervidae","Capreolus"
"936","Capreolus pygargus","Mammalia","Artiodactyla","Cervidae","Capreolus"
"937","Castor fiber","Mammalia","Rodentia","Castoridae","Castor"
"938","Cervus elaphus","Mammalia","Artiodactyla","Cervidae","Cervus"
"939","Dama dama","Mammalia","Artiodactyla","Cervidae","Dama"
"940","Gazella subgutturosa","Mammalia","Artiodactyla","Bovidae","Gazella"
"941","Ochotona hyperborea","Mammalia","Lagomorpha","Ochotonidae","Ochotona"
"942","Ochotona pusilla","Mammalia","Lagomorpha","Ochotonidae","Ochotona"
"943","Ovis aries","Mammalia","Artiodactyla","Bovidae","Ovis"
"944","Ovis aries","Mammalia","Artiodactyla","Bovidae","Ovis"
"945","Rangifer tarandus","Mammalia","Artiodactyla","Cervidae","Rangifer"
"946","Rupicapra pyrenaica","Mammalia","Artiodactyla","Bovidae","Rupicapra"
"947","Rupicapra rupicapra","Mammalia","Artiodactyla","Bovidae","Rupicapra"
"948","Saiga tatarica","Mammalia","Artiodactyla","Bovidae","Saiga"
"949","Rafetus euphraticus","Reptilia","Testudines","Trionychidae","Rafetus"
"950","Testudo marginata","Reptilia","Testudines","Testudinidae","Testudo"
"951",NA,"Reptilia","Squamata","Viperidae","Vipera"
"952","Vipera transcaucasiana","Reptilia","Squamata","Viperidae","Vipera"
"953","Vipera lotievi","Reptilia","Squamata","Viperidae","Vipera"
"954","Pelecanus onocrotalus","Aves","Pelecaniformes","Pelecanidae","Pelecanus"
"955","Pelecanus crispus","Aves","Pelecaniformes","Pelecanidae","Pelecanus"
"956","Marmota baibacina","Mammalia","Rodentia","Sciuridae","Marmota"
"957","Marmota bobak","Mammalia","Rodentia","Sciuridae","Marmota"
"958","Marmota marmota","Mammalia","Rodentia","Sciuridae","Marmota"
"959","Zoothera dauma","Aves","Passeriformes","Turdidae","Zoothera"
"960","Trapelus agilis","Reptilia","Squamata","Agamidae","Trapelus"
"961","Recurvirostra avosetta","Aves","Charadriiformes","Recurvirostridae","Recurvirostra"
"962","Thalasseus sandvicensis","Aves","Charadriiformes","Laridae","Thalasseus"
"963","Sterna hirundo","Aves","Charadriiformes","Laridae","Sterna"
"964","Sternula albifrons","Aves","Charadriiformes","Laridae","Sternula"
"965","Tetrao urogallus","Aves","Galliformes","Phasianidae","Tetrao"
"966","Lyrurus tetrix","Aves","Galliformes","Phasianidae","Lyrurus"
"967","Lyrurus mlokosiewiczi","Aves","Galliformes","Phasianidae","Lyrurus"
"968","Tetraogallus caucasicus","Aves","Galliformes","Phasianidae","Tetraogallus"
"969","Tetraogallus caspius","Aves","Galliformes","Phasianidae","Tetraogallus"
"970","Iduna caligata","Aves","Passeriformes","Acrocephalidae","Iduna"
"971","Iduna pallida","Aves","Passeriformes","Acrocephalidae","Iduna"
"972","Hippolais languida","Aves","Passeriformes","Acrocephalidae","Hippolais"
"973","Hippolais olivetorum","Aves","Passeriformes","Acrocephalidae","Hippolais"
"974","Hippolais polyglotta","Aves","Passeriformes","Acrocephalidae","Hippolais"
"975","Hippolais icterina","Aves","Passeriformes","Acrocephalidae","Hippolais"
"976","Phylloscopus trochilus","Aves","Passeriformes","Phylloscopidae","Phylloscopus"
"977","Phylloscopus collybita","Aves","Passeriformes","Phylloscopidae","Phylloscopus"
"978","Phylloscopus sindianus","Aves","Passeriformes","Phylloscopidae","Phylloscopus"
"979","Phylloscopus bonelli","Aves","Passeriformes","Phylloscopidae","Phylloscopus"
"980","Phylloscopus sibillatrix","Aves","Passeriformes","Phylloscopidae","Phylloscopus"
"981","Phylloscopus inornatus","Aves","Passeriformes","Phylloscopidae","Phylloscopus"
"982","Phylloscopus borealis","Aves","Passeriformes","Phylloscopidae","Phylloscopus"
"983","Phylloscopus trochiloides","Aves","Passeriformes","Phylloscopidae","Phylloscopus"
"984","Phoenicurus ochruros","Aves","Passeriformes","Muscicapidae","Phoenicurus"
"985","Phoenicurus phoenicurus","Aves","Passeriformes","Muscicapidae","Phoenicurus"
"986","Merops superciliosus","Aves","Coraciiformes","Meropidae","Merops"
"987","Merops apiaster","Aves","Coraciiformes","Meropidae","Merops"
"988","Aegithalos caudatus","Aves","Passeriformes","Aegithalidae","Aegithalos"
"989","Poecile lugubris","Aves","Passeriformes","Paridae","Poecile"
"990","Poecile palustris","Aves","Passeriformes","Paridae","Poecile"
"991","Poecile montanus","Aves","Passeriformes","Paridae","Poecile"
"992","Poecile cinctus","Aves","Passeriformes","Paridae","Poecile"
"993","Periparus ater","Aves","Passeriformes","Paridae","Periparus"
"994","Nyctalus noctula","Mammalia","Chiroptera","Vespertilionidae","Nyctalus"
"995","Bombycilla garrulus","Aves","Passeriformes","Bombycillidae","Bombycilla"
"996","Prunella montanella","Aves","Passeriformes","Prunellidae","Prunella"
"997","Prunella ocularis","Aves","Passeriformes","Prunellidae","Prunella"
"998","Prunella atrogularis","Aves","Passeriformes","Prunellidae","Prunella"
"999","Ficedula hypoleuca","Aves","Passeriformes","Muscicapidae","Ficedula"
"1000","Ficedula albicollis","Aves","Passeriformes","Muscicapidae","Ficedula"
"1001","Ficedula semitorquata","Aves","Passeriformes","Muscicapidae","Ficedula"
"1002","Ficedula parva","Aves","Passeriformes","Muscicapidae","Ficedula"
"1003","Luscinia luscinia","Aves","Passeriformes","Muscicapidae","Luscinia"
"1004","Luscinia megarhynchos","Aves","Passeriformes","Muscicapidae","Luscinia"
"1005","Luscinia calliope","Aves","Passeriformes","Muscicapidae","Luscinia"
"1006","Luscinia svecica","Aves","Passeriformes","Muscicapidae","Luscinia"
"1007","Tarsiger cyanurus","Aves","Passeriformes","Muscicapidae","Tarsiger"
"1008","Irania gutturalis","Aves","Passeriformes","Muscicapidae","Irania"
"1009","Erythropygia galactotes","Aves","Passeriformes","Muscicapidae","Erythropygia"
"1010","Lophophanes cristatus","Aves","Passeriformes","Paridae","Lophophanes"
"1011","Cyanistes cyanus","Aves","Passeriformes","Paridae","Cyanistes"
"1012","Certhia familiaris","Aves","Passeriformes","Certhiidae","Certhia"
"1013","Certhia brachydactyla","Aves","Passeriformes","Certhiidae","Certhia"
"1014","Fringilla montifringilla","Aves","Passeriformes","Fringillidae","Fringilla"
"1015","Pinicola enucleator","Aves","Passeriformes","Fringillidae","Pinicola"
"1016","Loxia pytyopsittacus","Aves","Passeriformes","Fringillidae","Loxia"
"1017","Loxia scotica","Aves","Passeriformes","Fringillidae","Loxia"
"1018","Loxia curvirostra","Aves","Passeriformes","Fringillidae","Loxia"
"1019","Loxia leucoptera","Aves","Passeriformes","Fringillidae","Loxia"
"1020","Pyrrhula pyrrhula","Aves","Passeriformes","Fringillidae","Pyrrhula"
"1021","Pyrrhula murina","Aves","Passeriformes","Fringillidae","Pyrrhula"
"1022","Bucanetes githagineus","Aves","Passeriformes","Fringillidae","Bucanetes"
"1023","Bucanetes mongolicus","Aves","Passeriformes","Fringillidae","Bucanetes"
"1024","Gymnoris xanthocollis","Aves","Passeriformes","Passeridae","Gymnoris"
"1025","Montifringilla nivalis","Aves","Passeriformes","Passeridae","Montifringilla"
"1026","Fringilla teydea","Aves","Passeriformes","Fringillidae","Fringilla"
"1027","Eptesicus nilssonii","Mammalia","Chiroptera","Vespertilionidae","Eptesicus"
"1028","Eptesicus serotinus","Mammalia","Chiroptera","Vespertilionidae","Eptesicus"
"1029","Columba trocaz","Aves","Columbiformes","Columbidae","Columba"
"1030","Clamator glandarius","Aves","Cuculiformes","Cuculidae","Clamator"
"1031","Cuculus saturatus","Aves","Cuculiformes","Cuculidae","Cuculus"
"1032","Dryobates minor","Aves","Piciformes","Picidae","Dryobates"
"1033","Picoides tridactylus","Aves","Piciformes","Picidae","Picoides"
"1034","Dryocopus martius","Aves","Piciformes","Picidae","Dryocopus"
"1035","Picus viridis","Aves","Piciformes","Picidae","Picus"
"1036","Picus canus","Aves","Piciformes","Picidae","Picus"
"1037","Columba bollii","Aves","Columbiformes","Columbidae","Columba"
"1038","Columba junoniae","Aves","Columbiformes","Columbidae","Columba"
"1039","Phrynocephalus guttatus","Reptilia","Squamata","Agamidae","Phrynocephalus"
"1040","Phrynocephalus helioscopus","Reptilia","Squamata","Agamidae","Phrynocephalus"
"1041","Phrynocephalus mystaceus","Reptilia","Squamata","Agamidae","Phrynocephalus"
"1042","Phrynocephalus persicus","Reptilia","Squamata","Agamidae","Phrynocephalus"
"1043","Trapelus lessonae","Reptilia","Squamata","Agamidae","Trapelus"
"1044","Oceanodroma leucorhoa","Aves","Procellariiformes","Hydrobatidae","Oceanodroma"
"1045","Oceanodroma castro","Aves","Procellariiformes","Hydrobatidae","Oceanodroma"
"1046","Pterocles alchata","Aves","Pteroclidiformes","Pteroclididae","Pterocles"
"1047","Pterocles orientalis","Aves","Pteroclidiformes","Pteroclididae","Pterocles"
"1048","Anthropoides virgo","Aves","Gruiformes","Gruidae","Anthropoides"
"1049","Spalax leucodon","Mammalia","Rodentia","Spalacidae","Spalax"
"1050","Myomimus roachi","Mammalia","Rodentia","Gliridae","Myomimus"
"1051","Myomimus setzeri","Mammalia","Rodentia","Gliridae","Myomimus"
"1052","Spalax arenarius","Mammalia","Rodentia","Spalacidae","Spalax"
"1053","Spalax ehrenbergi","Mammalia","Rodentia","Spalacidae","Spalax"
"1054","Spalax giganteus","Mammalia","Rodentia","Spalacidae","Spalax"
"1055","Spalax graecus","Mammalia","Rodentia","Spalacidae","Spalax"
"1056","Spalax microphthalmus","Mammalia","Rodentia","Spalacidae","Spalax"
"1057","Spalax nehringi","Mammalia","Rodentia","Spalacidae","Spalax"
"1058","Spalax uralensis","Mammalia","Rodentia","Spalacidae","Spalax"
"1059","Spalax zemni","Mammalia","Rodentia","Spalacidae","Spalax"
"1060","Blanus cinereus","Reptilia","Squamata","Blanidae","Blanus"
"1061","Thalasseus bengalensis","Aves","Charadriiformes","Laridae","Thalasseus"
"1062","Sterna dougallii","Aves","Charadriiformes","Laridae","Sterna"
"1063","Sterna paradisaea","Aves","Charadriiformes","Laridae","Sterna"
"1064","Onychoprion fuscatus","Aves","Charadriiformes","Laridae","Onychoprion"
"1065","Apus apus","Aves","Apodiformes","Apodidae","Apus"
"1066","Plecotus auritus","Mammalia","Chiroptera","Vespertilionidae","Plecotus"
"1067","Tadarida teniotis","Mammalia","Chiroptera","Molossidae","Tadarida"
"1068","Tachymarptis melba","Aves","Apodiformes","Apodidae","Tachymarptis"
"1069","Apus pallidus","Aves","Apodiformes","Apodidae","Apus"
"1070","Riparia riparia","Aves","Passeriformes","Hirundinidae","Riparia"
"1071","Cecropis daurica","Aves","Passeriformes","Hirundinidae","Cecropis"
"1072","Delichon urbicum","Aves","Passeriformes","Hirundinidae","Delichon"
"1073","Regulus regulus","Aves","Passeriformes","Regulidae","Regulus"
"1074","Regulus ignicapilla","Aves","Passeriformes","Regulidae","Regulus"
"1075","Prunella collaris","Aves","Passeriformes","Prunellidae","Prunella"
"1076","Oriolus oriolus","Aves","Passeriformes","Oriolidae","Oriolus"
"1077","Ptyonoprogne rupestris","Aves","Passeriformes","Hirundinidae","Ptyonoprogne"
"1078","Pycnonotus xanthopygos","Aves","Passeriformes","Pycnonotidae","Pycnonotus"
"1079","Sitta europaea","Aves","Passeriformes","Sittidae","Sitta"
"1080","Sitta whiteheadi","Aves","Passeriformes","Sittidae","Sitta"
"1081","Sitta krueperi","Aves","Passeriformes","Sittidae","Sitta"
"1082","Tichodroma muraria","Aves","Passeriformes","Tichodromidae","Tichodroma"
"1083","Remiz pendulinus","Aves","Passeriformes","Remizidae","Remiz"
"1084","Myotis alcathoe","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1085","Myotis davidii","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1086","Myotis bechsteinii","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1087","Myotis blythii","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1088","Myotis brandtii","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1089","Myotis capaccinii","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1090","Myotis dasycneme","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1091","Myotis daubentonii","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1092","Myotis emarginatus","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1093","Myotis davidii","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1094","Myotis myotis","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1095","Myotis mystacinus","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1096","Myotis nattereri","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1097","Myotis nipalensis","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1098","Myotis punicus","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1099","Myotis schaubi","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"1100","Caprimulgus ruficollis","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus"
"1101","Caprimulgus europaeus","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus"
"1102","Barbastella barbastellus","Mammalia","Chiroptera","Vespertilionidae","Barbastella"
"1103","Pipistrellus pipistrellus","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus"
"1104","Blanus strauchi","Reptilia","Squamata","Blanidae","Blanus"
"1105","Puffinus puffinus","Aves","Procellariiformes","Procellariidae","Puffinus"
"1106","Hydrobates pelagicus","Aves","Procellariiformes","Hydrobatidae","Hydrobates"
"1107","Apus affinis","Aves","Apodiformes","Apodidae","Apus"
"1108","Apus caffer","Aves","Apodiformes","Apodidae","Apus"
"1109","Apus unicolor","Aves","Apodiformes","Apodidae","Apus"
"1110","Phaethon aethereus","Aves","Phaethontiformes","Phaethontidae","Phaethon"
"1111","Nyctalus leisleri","Mammalia","Chiroptera","Vespertilionidae","Nyctalus"
"1112","Pipistrellus kuhlii","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus"
"1113","Pipistrellus nathusii","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus"
"1114","Plecotus austriacus","Mammalia","Chiroptera","Vespertilionidae","Plecotus"
"1115","Rhinolophus ferrumequinum","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus"
"1116","Eptesicus gobiensis","Mammalia","Chiroptera","Vespertilionidae","Eptesicus"
"1117","Eptesicus bottae","Mammalia","Chiroptera","Vespertilionidae","Eptesicus"
"1118","Hypsugo savii","Mammalia","Chiroptera","Vespertilionidae","Hypsugo"
"1119","Miniopterus schreibersii","Mammalia","Chiroptera","Miniopteridae","Miniopterus"
"1120","Nyctalus azoreum","Mammalia","Chiroptera","Vespertilionidae","Nyctalus"
"1121","Pipistrellus maderensis","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus"
"1122","Pipistrellus pygmaeus","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus"
"1123","Plecotus kolombatovici","Mammalia","Chiroptera","Vespertilionidae","Plecotus"
"1124","Plecotus macrobullaris","Mammalia","Chiroptera","Vespertilionidae","Plecotus"
"1125","Plecotus sardus","Mammalia","Chiroptera","Vespertilionidae","Plecotus"
"1126","Plecotus teneriffae","Mammalia","Chiroptera","Vespertilionidae","Plecotus"
"1127","Rhinolophus blasii","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus"
"1128","Rhinolophus euryale","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus"
"1129","Rhinolophus hipposideros","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus"
"1130","Rhinolophus mehelyi","Mammalia","Chiroptera","Rhinolophidae","Rhinolophus"
"1131","Rousettus aegyptiacus","Mammalia","Chiroptera","Pteropodidae","Rousettus"
"1132","Vespertilio murinus","Mammalia","Chiroptera","Vespertilionidae","Vespertilio"
"1133","Barbastella leucomelas","Mammalia","Chiroptera","Vespertilionidae","Barbastella"
"1134","Miniopterus fuliginosus","Mammalia","Chiroptera","Miniopteridae","Miniopterus"
"1135","Gyps fulvus","Aves","Accipitriformes","Accipitridae","Gyps"
"1136","Xerotyphlops vermicularis","Reptilia","Squamata","Typhlopidae","Xerotyphlops"
"1137","Letheobia episcopus","Reptilia","Squamata","Typhlopidae","Letheobia"
"1138","Puffinus yelkouan","Aves","Procellariiformes","Procellariidae","Puffinus"
"1139","Hystrix indica","Mammalia","Rodentia","Hystricidae","Hystrix"
"1140","Eryx miliaris","Reptilia","Squamata","Boidae","Eryx"
"1141","Bison bonasus","Mammalia","Artiodactyla","Bovidae","Bison"
"1142","Hystrix cristata","Mammalia","Rodentia","Hystricidae","Hystrix"
"1143","Myriopholis macrorhyncha","Reptilia","Squamata","Leptotyphlopidae","Myriopholis"
"1144","Cinclus cinclus","Aves","Passeriformes","Cinclidae","Cinclus"
"1145","Pterodroma feae","Aves","Procellariiformes","Procellariidae","Pterodroma"
"1146","Pterodroma madeira","Aves","Procellariiformes","Procellariidae","Pterodroma"
"1147","Bulweria bulwerii","Aves","Procellariiformes","Procellariidae","Bulweria"
"1148","Calonectris diomedea","Aves","Procellariiformes","Procellariidae","Calonectris"
"1149","Puffinus mauretanicus","Aves","Procellariiformes","Procellariidae","Puffinus"
"1150","Puffinus assimilis","Aves","Procellariiformes","Procellariidae","Puffinus"
"1151","Pelagodroma marina","Aves","Procellariiformes","Hydrobatidae","Pelagodroma"
