"","Species","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Class","Order","Family","Genus","Body_mass_g","Maturity_d","Max_longevity_d","Litter_clutch_size"
"237","Charadrius morinellus","Carnivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Charadriidae","Charadrius",108.415,726.936,4320.908,3
"238","Chersophilus duponti","Omnivore","Other",NA,"FALSE","0","0","1","1","0","0","0","0","0","0","0","0","0","Aves","Passeriformes","Alaudidae","Chersophilus",39.45,402.403015166666,4197.03251771658,2.76
"239","Chlamydotis undulata","Carnivore","Other",NA,"TRUE","0","0","0","1","0","0","0","1","0","0","1","0","0","Aves","Otidiformes","Otididae","Chlamydotis",1502.5,545.202,5478.75,2.5
"240","Chlidonias hybrida","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","1","1","0","0","Aves","Charadriiformes","Laridae","Chlidonias",83.9,709.442689219779,7776.66990961118,2.635
"241","Chlidonias leucopterus","Carnivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","0","1","1","0","0","Aves","Charadriiformes","Laridae","Chlidonias",54.2,726.936,7261.8008753224,2.91
"242","Chlidonias niger","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Chlidonias",63,729.234,7670.25,3
"243","Chloris chloris","Herbivore","Other",NA,"TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Fringillidae","Chloris",26.825,364.617,4961.312,4.9
"244","Chroicocephalus genei","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Chroicocephalus",273.375,730,11578.42,2.2
"245","Chroicocephalus ridibundus","Carnivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Chroicocephalus",271.6667,729.234,23010.75,2.7
"246","Ciconia ciconia","Carnivore","Other",NA,"TRUE","0","0","0","1","0","0","0","0","0","0","1","0","0","Aves","Ciconiiformes","Ciconiidae","Ciconia",3445.8,1368.938,17532,4
"247","Ciconia nigra","Carnivore","Other",NA,"FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Aves","Ciconiiformes","Ciconiidae","Ciconia",2963,1090.404,11432.33,3.5
"248","Cinclus cinclus","Carnivore","Other",NA,"FALSE","0","0","0","0","1","1","0","0","0","0","0","0","0","Aves","Passeriformes","Cinclidae","Cinclus",61.47,364.617,3871.65,4.52
"249","Circaetus gallicus","Carnivore","Other",NA,"FALSE","1","1","1","1","0","0","0","1","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Circaetus",1699.5,1184.718,6318.825,1
"250","Circus aeruginosus","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","1","1","0","0","Aves","Accipitriformes","Accipitridae","Circus",704.07,774.6675,7341.525,4.75
"251","Circus cyaneus","Carnivore","Other",NA,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Circus",436.39445,474.7,6245.775,4.5
"252","Circus macrourus","Carnivore","Other",NA,"FALSE","1","1","0","1","1","0","0","0","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Circus",384.36,726.936,4930.875,4.5
"253","Circus pygargus","Carnivore","Other",NA,"TRUE","0","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Circus",313.125,774.6675,5953.575,4.25
"254","Cisticola juncidis","Carnivore","Other",NA,"TRUE","0","0","1","1","1","0","0","0","0","1","1","0","0","Aves","Passeriformes","Cisticolidae","Cisticola",7.05,364.629772367216,3457.50481583705,3.7
"255","Clamator glandarius","Carnivore","Other",NA,"TRUE","0","1","1","1","0","0","0","0","0","0","1","0","0","Aves","Cuculiformes","Cuculidae","Clamator",143,363.468,5201.70846081744,4.8
"256","Clangula hyemalis","Carnivore","Other",NA,"FALSE","0","0","0","1","1","0","0","0","1","0","0","0","0","Aves","Anseriformes","Anatidae","Clangula",871,729.234,8291.175,7.5
"257","Coccothraustes coccothraustes","Herbivore","Other",NA,"TRUE","1","0","0","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Fringillidae","Coccothraustes",56.63,364.617,4602.15,4
"258","Coloeus monedula","Carnivore","Other",NA,"TRUE","1","0","1","1","0","1","0","0","0","0","1","0","0","Aves","Passeriformes","Corvidae","Coloeus",242.875,683.8005,7426.75,4.5
"259","Columba bollii","Herbivore","Other",NA,"TRUE","1","0","0","0","0","0","1","0","0","0","1","0","0","Aves","Columbiformes","Columbidae","Columba",389.23,476.938030119047,7724.68711364232,1
"260","Columba junoniae","Herbivore","Other",NA,"TRUE","1","0","1","0","0","0","1","0","0","0","1","0","0","Aves","Columbiformes","Columbidae","Columba",308.46,471.732509404761,7279.53745791545,1
"261","Columba livia","Herbivore","Other",NA,"TRUE","0","0","0","0","0","1","1","0","0","0","1","0","0","Aves","Columbiformes","Columbidae","Columba",354.2,140,12783.75,2
"262","Columba oenas","Herbivore","Other",NA,"TRUE","1","0","1","0","0","1","1","0","0","0","1","0","0","Aves","Columbiformes","Columbidae","Columba",291,364.617,4602.15,2.17
"263","Columba palumbus","Herbivore","Other",NA,"TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Columbiformes","Columbidae","Columba",489.25,364.617,6452.75,1.9
"264","Columba trocaz","Herbivore","Other",NA,"TRUE","1","0","0","0","0","0","1","0","0","0","1","0","0","Aves","Columbiformes","Columbidae","Columba",442.5,476.450715119047,7919.91323863014,1
"265","Coracias garrulus","Carnivore","Other",NA,"TRUE","1","1","1","1","0","0","0","0","0","0","1","0","0","Aves","Coraciiformes","Coraciidae","Coracias",143.625,363.468,3360.3,4.25
"266","Corvus corax","Carnivore","Other",NA,"TRUE","1","0","1","1","0","1","0","0","0","0","1","0","0","Aves","Passeriformes","Corvidae","Corvus",1097,1095,25202.25,4.8
"267","Corvus corone","Carnivore","Other",NA,"TRUE","1","0","1","1","1","1","0","0","0","1","1","0","0","Aves","Passeriformes","Corvidae","Corvus",544.5,1002.984,7000.625,4.5
"268","Corvus frugilegus","Carnivore","Other",NA,"TRUE","1","0","0","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Corvidae","Corvus",452.8,638.367,8370.313,4
"269","Coturnix coturnix","Herbivore","Other",NA,"TRUE","0","0","0","1","0","0","0","0","0","0","1","0","0","Aves","Galliformes","Phasianidae","Coturnix",96.5,364.617,5326.562,10.30488
"270","Crex crex","Carnivore","Other",NA,"TRUE","0","1","0","1","1","0","0","0","0","0","1","0","0","Aves","Gruiformes","Rallidae","Crex",155.205,363.468,2130.625,10
"271","Cuculus canorus","Carnivore","Other",NA,"TRUE","1","1","1","1","0","0","0","0","0","0","1","0","0","Aves","Cuculiformes","Cuculidae","Cuculus",111.43,365,4717.813,9.2
"272","Cuculus saturatus","Carnivore","Other",NA,"FALSE","1","0","1","0","0","0","0","0","0","0","0","0","0","Aves","Cuculiformes","Cuculidae","Cuculus",88.8,447.530783333333,5610.44842823945,4.87167037738095
"273","Cursorius cursor","Carnivore","Other",NA,"FALSE","0","0","1","1","0","0","0","1","0","0","0","0","0","Aves","Charadriiformes","Glareolidae","Cursorius",134,363.468,5175.33173960869,2
"274","Cyanistes caeruleus","Carnivore","Other",NA,"TRUE","1","0","1","0","0","0","0","1","0","0","1","0","0","Aves","Passeriformes","Paridae","Cyanistes",11.85,365,5332.65,8
"275","Cyanistes cyanus","Carnivore","Other",NA,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Paridae","Cyanistes",14.62,365.308941635114,4740.87390678212,9.4
"276","Cyanopica cyanus","Carnivore","Other",NA,"TRUE","1","0","0","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Corvidae","Cyanopica",95.91,387.857418068375,6477.38588650122,6
"277","Cygnus columbianus","Herbivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","0","0","1","0","0","Aves","Anseriformes","Anatidae","Cygnus",6377.96,865.5345,8802.525,4
"278","Cygnus cygnus","Herbivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Aves","Anseriformes","Anatidae","Cygnus",9413,1458.468,9679.125,4.920659
"279","Cygnus olor","Herbivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","1","1","0","0","Aves","Anseriformes","Anatidae","Cygnus",10682.04,1139.284,25567.5,5.95
"280","Delichon urbicum","Carnivore","Other",NA,"TRUE","1","1","0","1","0","1","0","0","0","0","1","0","0","Aves","Passeriformes","Hirundinidae","Delichon",16.775,365,5478.75,4
"281","Dendrocopos major","Carnivore","Other",NA,"TRUE","1","0","0","0","0","0","0","0","0","0","1","0","0","Aves","Piciformes","Picidae","Dendrocopos",86.47,365,4638.675,5.615
"282","Dendrocopos syriacus","Carnivore","Other",NA,"TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Piciformes","Picidae","Dendrocopos",76.75,370.831562266067,3987.313,5
"283","Dendrocoptes medius","Carnivore","Other",NA,"TRUE","1","0","0","0","0","0","0","0","0","0","1","0","0","Aves","Piciformes","Picidae","Dendrocoptes",63.25,365,2922,5.64
"284","Dryobates minor","Carnivore","Other",NA,"TRUE","1","0","0","0","1","0","0","0","0","0","1","0","0","Aves","Piciformes","Picidae","Dryobates",20,365,3591.625,5.9
"285","Dryocopus martius","Carnivore","Other",NA,"FALSE","1","0","0","0","0","0","0","0","0","0","0","0","0","Aves","Piciformes","Picidae","Dryocopus",318.25,364.617,5113.5,4.8
"286","Egretta garzetta","Carnivore","Other",NA,"TRUE","1","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Pelecaniformes","Ardeidae","Egretta",312,364.617,8159.685,4
"287","Elanus caeruleus","Carnivore","Other",NA,"TRUE","0","1","1","1","0","0","0","1","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Elanus",259.76,363.468,2191.5,3.5
"288","Emberiza aureola","Herbivore","Other",NA,"TRUE","0","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",19.6,364.659256241342,2556.75,4
"289","Emberiza bruniceps","Herbivore","Other",NA,"TRUE","0","0","1","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",24.5,364.620829999999,3826.44979511797,4.5
"290","Emberiza buchanani","Herbivore","Other",NA,"TRUE","0","0","0","0","0","1","0","1","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",21.2,365.623871249999,3755.55416786506,4.5
"291","Emberiza caesia","Omnivore","Other",NA,"TRUE","0","0","1","1","0","1","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",19.9,364.568280535714,3489.68311797159,4.5
"292","Emberiza calandra","Herbivore","Other",NA,"TRUE","0","0","0","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",48.75,364.617,3865.562,4.5
"293","Emberiza cia","Herbivore","Other",NA,"TRUE","1","0","1","0","0","1","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",23.43,361.308212142857,3995.33512678577,4.1
"294","Emberiza cineracea","Omnivore","Other",NA,"TRUE","0","0","1","0","0","1","0","1","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",24.3,364.367307696078,3572.43339388271,4.7
"295","Emberiza cirlus","Herbivore","Other",NA,"TRUE","0","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",25.6,365,2228.025,3.5
"296","Emberiza citrinella","Herbivore","Other",NA,"TRUE","1","0","1","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",29.7,364.617,4839.562,3.9
"297","Emberiza hortulana","Carnivore","Other",NA,"TRUE","0","0","1","1","0","0","0","1","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",19.9,365.393256515151,2495.875,4.5
"298","Emberiza leucocephalos","Herbivore","Other",NA,"TRUE","1","0","0","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",28.3,364.662736583333,4017.48415406155,4.5
"299","Emberiza melanocephala","Herbivore","Other",NA,"TRUE","0","0","1","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",28.35,364.614446666666,4017.75,3.9
"300","Emberiza pallasi","Herbivore","Other",NA,"TRUE","0","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",14,364.617,4474.312,4.5
"301","Emberiza pusilla","Herbivore","Other",NA,"FALSE","1","0","1","1","0","0","0","0","0","0","0","0","0","Aves","Passeriformes","Emberizidae","Emberiza",14.66033,363.56896961039,3554.21397460808,5
"302","Emberiza rustica","Herbivore","Other",NA,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",20.54,363.201565559523,3911.95834910895,4.61
"303","Emberiza schoeniclus","Herbivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Emberizidae","Emberiza",18.45,364.617,4474.312,4.5
"304","Eremophila alpestris","Omnivore","Other",NA,"TRUE","0","0","1","1","0","0","0","0","0","1","1","0","0","Aves","Passeriformes","Alaudidae","Eremophila",34.25,364.617,2922,3.52
"305","Erithacus rubecula","Carnivore","Other",NA,"TRUE","1","0","1","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Muscicapidae","Erithacus",17.7,364.617,7061.5,5.17
"306","Erythropygia galactotes","Carnivore","Other",NA,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Muscicapidae","Erythropygia",21.025,364.611857424603,2556.75,3.5
"307","Falco biarmicus","Carnivore","Other",NA,"TRUE","1","1","1","1","0","1","0","1","0","0","1","0","0","Aves","Falconiformes","Falconidae","Falco",616,726.936,7662.46419521983,3.75
"308","Falco cherrug","Carnivore","Other",NA,"TRUE","0","0","1","1","1","0","0","0","0","1","1","0","0","Aves","Falconiformes","Falconidae","Falco",966,726.936,9131.25,4
"309","Falco columbarius","Carnivore","Other",NA,"TRUE","1","0","1","1","0","0","0","0","0","1","1","0","0","Aves","Falconiformes","Falconidae","Falco",188.5,455.101,5844,4.5
"310","Falco eleonorae","Carnivore","Other",NA,"TRUE","1","0","1","1","0","0","0","0","0","0","1","0","0","Aves","Falconiformes","Falconidae","Falco",379.5,545.202,4090.8,2.5
"311","Falco naumanni","Carnivore","Other",NA,"TRUE","0","1","0","1","0","1","0","1","0","0","1","0","0","Aves","Falconiformes","Falconidae","Falco",152.28,455.101,3987.313,4.2
"312","Falco peregrinus","Carnivore","Other",NA,"TRUE","1","1","1","1","1","1","0","1","0","1","1","0","0","Aves","Falconiformes","Falconidae","Falco",798,545.968,9131.25,3.5
"313","Falco rusticolus","Carnivore","Other",NA,"TRUE","1","0","0","1","0","1","0","0","0","1","1","0","0","Aves","Falconiformes","Falconidae","Falco",1431.72,729.234,4930.875,3.61
"314","Falco subbuteo","Carnivore","Other",NA,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Aves","Falconiformes","Falconidae","Falco",209.5,455.484,5150.025,3
"315","Falco tinnunculus","Carnivore","Other",NA,"TRUE","1","0","1","1","0","0","0","0","0","0","1","0","0","Aves","Falconiformes","Falconidae","Falco",184,365,8705.369,4.5
"316","Falco vespertinus","Carnivore","Other",NA,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Aves","Falconiformes","Falconidae","Falco",152.5,363.468,6574.5,3.5
"317","Ficedula albicollis","Carnivore","Other",NA,"TRUE","1","1","0","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Muscicapidae","Ficedula",12.69,364.617,3591.625,6
"318","Ficedula hypoleuca","Carnivore","Other",NA,"TRUE","1","1","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Muscicapidae","Ficedula",13.79,365,5478.75,5.85
"319","Ficedula parva","Carnivore","Other",NA,"TRUE","1","0","0","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Muscicapidae","Ficedula",9.95,364.688961703296,3154.67569646387,5.5
"320","Ficedula semitorquata","Carnivore","Other",NA,"TRUE","1","1","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Muscicapidae","Ficedula",12.7,364.617,3591.625,5.95
"321","Francolinus francolinus","Herbivore","Other",NA,"TRUE","0","0","1","1","0","0","0","0","0","0","1","0","0","Aves","Galliformes","Phasianidae","Francolinus",452.535,365.25,2556.75,7.5
"322","Fratercula arctica","Carnivore","Other",NA,"FALSE","0","0","0","1","0","0","0","0","1","1","0","0","0","Aves","Charadriiformes","Alcidae","Fratercula",437.9167,1460,14914.37,1
"323","Fringilla coelebs","Carnivore","Other",NA,"TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Fringillidae","Fringilla",22.625,364.617,10592.25,4.5
"324","Fringilla montifringilla","Carnivore","Other",NA,"TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Fringillidae","Fringilla",22.925,364.617,5405.7,5.9
"325","Fringilla teydea","Carnivore","Other",NA,"FALSE","1","0","0","0","0","0","0","0","0","0","0","0","0","Aves","Passeriformes","Fringillidae","Fringilla",30.3,405.199772333333,4708.62373749147,2
"326","Fulica atra","Carnivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Gruiformes","Rallidae","Fulica",775,365,11797.58,7.6
"327","Fulica cristata","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","1","1","0","0","Aves","Gruiformes","Rallidae","Fulica",832.5,548.077501428571,2069.75,5.9
"328","Fulmarus glacialis","Carnivore","Other",NA,"FALSE","0","0","0","0","0","0","0","0","1","1","0","0","0","Aves","Procellariiformes","Procellariidae","Fulmarus",613,2380.5,18627.75,1
"329","Galerida cristata","Carnivore","Other",NA,"TRUE","0","1","1","1","0","0","0","0","0","1","1","0","0","Aves","Passeriformes","Alaudidae","Galerida",42.68,365,4230.812,4.275
"330","Galerida theklae","Carnivore","Other",NA,"TRUE","0","0","1","1","0","1","0","0","0","0","1","0","0","Aves","Passeriformes","Alaudidae","Galerida",38.17,362.6907975,3344.29909373823,4.07
"331","Gallinago gallinago","Carnivore","Other",NA,"TRUE","1","0","0","1","1","0","0","0","1","0","1","0","0","Aves","Charadriiformes","Scolopacidae","Gallinago",112.94,410.0505,6647.55,4
"332","Gallinago media","Carnivore","Other",NA,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Aves","Charadriiformes","Scolopacidae","Gallinago",170.5,418.509702333333,5190.25196521685,4
"333","Gallinago stenura","Carnivore","Other",NA,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Charadriiformes","Scolopacidae","Gallinago",116.5,393.439868333333,5299.55793575542,4
"334","Gallinula chloropus","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","0","1","1","0","0","Aves","Gruiformes","Rallidae","Gallinula",358.315,364.617,6793.65,7
"335","Garrulus glandarius","Carnivore","Other",NA,"TRUE","1","0","0","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Corvidae","Garrulus",160.85,364.617,6544.063,5
"336","Gavia adamsii","Carnivore","Other",NA,"FALSE","0","0","0","0","1","0","0","0","1","0","0","0","0","Aves","Gaviiformes","Gaviidae","Gavia",5056.25,1278,10957.5,2
"337","Gavia arctica","Carnivore","Other",NA,"FALSE","0","0","0","0","1","0","0","0","1","0","0","0","0","Aves","Gaviiformes","Gaviidae","Gavia",2665,1048.418,10227,1.95
"338","Gavia immer","Carnivore","Other",NA,"FALSE","0","0","0","0","1","0","0","0","1","0","0","0","0","Aves","Gaviiformes","Gaviidae","Gavia",4956.81,1277.484,8796.437,2
"339","Gavia stellata","Carnivore","Other",NA,"FALSE","0","0","0","0","1","0","0","0","1","0","0","0","0","Aves","Gaviiformes","Gaviidae","Gavia",1603,1048.418,8656.425,2
"340","Gelochelidon nilotica","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Gelochelidon",220.5,1823.085,5844,3
"341","Glareola nordmanni","Carnivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","0","0","1","0","0","Aves","Charadriiformes","Glareolidae","Glareola",97.19,458.430483285714,5087.93828785902,3.57
"342","Glareola pratincola","Carnivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","0","1","1","0","0","Aves","Charadriiformes","Glareolidae","Glareola",80.33333,363.468,5152.90124163733,3
"343","Glaucidium passerinum","Carnivore","Nocturnal",NA,"FALSE","1","0","1","0","1","0","0","0","0","0","0","0","0","Aves","Strigiformes","Strigidae","Glaucidium",58.5,364.617,2191.5,5
"344","Grus grus","Carnivore","Other",NA,"TRUE","0","1","0","1","1","0","0","0","0","1","1","0","0","Aves","Gruiformes","Gruidae","Grus",5499.99,1825,15705.75,2
"345","Gymnoris xanthocollis","Herbivore","Other",NA,"TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Passeridae","Gymnoris",17.325,364.608176369047,4312.0373964787,3.5
"346","Gypaetus barbatus","Carnivore","Other",NA,"TRUE","0","0","1","1","0","1","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Gypaetus",5694.98,2544.276,14610,1.5
"347","Gyps fulvus","Carnivore","Other",NA,"FALSE","0","0","1","1","0","1","0","0","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Gyps",7436,1460,15121.35,1
"348","Haematopus ostralegus","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Haematopodidae","Haematopus",533.125,1274.436,15827.5,2.85
"349","Halcyon smyrnensis","Carnivore","Other",NA,"TRUE","1","0","0","0","1","0","0","0","0","1","1","0","0","Aves","Coraciiformes","Alcedinidae","Halcyon",91.075,383.6064975,2008.875,5.5
"350","Haliaeetus albicilla","Carnivore","Other",NA,"TRUE","1","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Accipitriformes","Accipitridae","Haliaeetus",4761.135,1594.768,15340.5,2
"351","Hieraaetus pennatus","Carnivore","Other",NA,"FALSE","1","0","1","0","0","0","0","1","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Hieraaetus",834.5,726.936,4383,2
"352","Himantopus himantopus","Carnivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Recurvirostridae","Himantopus",177.285,591.21,5710.075,3.9775
"353","Hippolais icterina","Carnivore","Other",NA,"TRUE","1","0","0","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Hippolais",15.6625,364.617,3956.875,4.5
"354","Hippolais languida","Carnivore","Other",NA,"TRUE","1","1","1","0","0","0","0","1","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Hippolais",12.025,363.360280141025,3795.6188979646,4.5
"355","Hippolais olivetorum","Carnivore","Other",NA,"TRUE","0","1","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Hippolais",17.95,366.497193486263,4120.78371011855,3.625
"356","Hippolais polyglotta","Carnivore","Other",NA,"TRUE","1","1","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Hippolais",11.95,365,3256.813,3.95
"357","Hirundo rustica","Carnivore","Other",NA,"TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Hirundinidae","Hirundo",17.91,365,5844,4.495
"358","Histrionicus histrionicus","Carnivore","Other",NA,"FALSE","0","0","0","0","1","0","0","0","1","1","0","0","0","Aves","Anseriformes","Anatidae","Histrionicus",561.57,455.484,5332.65,5.9
"359","Hydrobates pelagicus","Carnivore","Other",NA,"FALSE","0","0","0","0","0","0","0","0","1","1","0","0","0","Aves","Procellariiformes","Hydrobatidae","Hydrobates",25.45,1095,12345.45,1
"360","Hydrocoloeus minutus","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Hydrocoloeus",118,638.367,7639.813,2.875
"361","Hydroprogne caspia","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Hydroprogne",654.6667,1093.851,10957.5,2.225
"362","Ichthyaetus audouinii","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Ichthyaetus",575.1225,1095,7639.813,2.495
"363","Ichthyaetus ichthyaetus","Carnivore","Other",NA,"TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Ichthyaetus",1404.96,1090.404,3287.25,2
"364","Ichthyaetus melanocephalus","Carnivore","Other",NA,"TRUE","0","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Laridae","Ichthyaetus",262.625,1048.418,8065.937,3
"365","Iduna caligata","Carnivore","Other",NA,"TRUE","0","0","1","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Iduna",9.075,364.720119318372,3063.60926406504,5
"366","Iduna pallida","Carnivore","Other",NA,"TRUE","1","1","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Iduna",9.1,365,2885.475,3.3
"367","Irania gutturalis","Carnivore","Other",NA,"TRUE","0","1","1","1","0","1","0","1","0","0","1","0","0","Aves","Passeriformes","Muscicapidae","Irania",21.6,364.091383333333,3749.88232138107,4.25
"368","Ixobrychus minutus","Carnivore","Other",NA,"TRUE","1","0","0","1","1","0","0","0","0","0","1","0","0","Aves","Pelecaniformes","Ardeidae","Ixobrychus",103.5,638.367,2526.313,4.6
"369","Jynx torquilla","Carnivore","Other",NA,"TRUE","1","1","1","1","0","0","0","0","0","1","1","0","0","Aves","Piciformes","Picidae","Jynx",35.86667,364.617,3652.5,8.5
"370","Lagopus lagopus","Herbivore","Other",NA,"FALSE","1","0","1","1","0","0","0","0","0","0","0","0","0","Aves","Galliformes","Phasianidae","Lagopus",589.5,364.617,3287.25,8.95
"371","Lagopus muta","Herbivore","Other",NA,"FALSE","0","0","0","1","0","0","0","0","0","0","0","0","0","Aves","Galliformes","Phasianidae","Lagopus",535.3,363.468,2221.937,7
"372","Lanius collurio","Carnivore","Other",NA,"TRUE","1","1","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Laniidae","Lanius",28.45,364.617,3682.937,5.5
"373","Lanius excubitor","Carnivore","Other",NA,"FALSE","1","1","1","1","1","1","0","1","0","0","0","0","0","Aves","Passeriformes","Laniidae","Lanius",63.41,342.117,5880.525,5.1
"374","Lanius meridionalis","Carnivore","Other",NA,"TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Laniidae","Lanius",61.94,342.117,5880.525,5.2
"375","Lanius minor","Carnivore","Other",NA,"TRUE","0","1","1","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Laniidae","Lanius",46.5,364.650496915747,2191.5,5.5
"376","Lanius nubicus","Carnivore","Other",NA,"TRUE","1","1","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Laniidae","Lanius",22.65,367.059347753968,1585.185,5.05
