"","Species","Class","Order","Family","Genus"
"131","Delichon urbicum","Aves","Passeriformes","Hirundinidae","Delichon"
"132","Malpolon monspessulanus","Reptilia","Squamata","Psammophiidae","Malpolon"
"133","Sus scrofa","Mammalia","Artiodactyla","Suidae","Sus"
"134","Fringilla coelebs","Aves","Passeriformes","Fringillidae","Fringilla"
"135","Linaria cannabina","Aves","Passeriformes","Fringillidae","Linaria"
"136","Pica pica","Aves","Passeriformes","Corvidae","Pica"
"137","Turdus philomelos","Aves","Passeriformes","Turdidae","Turdus"
"138","Columba oenas","Aves","Columbiformes","Columbidae","Columba"
"139","Motacilla alba","Aves","Passeriformes","Motacillidae","Motacilla"
"140","Oenanthe oenanthe","Aves","Passeriformes","Muscicapidae","Oenanthe"
"141","Sorex araneus","Mammalia","Soricomorpha","Soricidae","Sorex"
"142","Jynx torquilla","Aves","Piciformes","Picidae","Jynx"
"143","Hirundo rustica","Aves","Passeriformes","Hirundinidae","Hirundo"
"144","Dryocopus martius","Aves","Piciformes","Picidae","Dryocopus"
"145","Alectoris rufa","Aves","Galliformes","Phasianidae","Alectoris"
"146","Merops apiaster","Aves","Coraciiformes","Meropidae","Merops"
"147","Emberiza calandra","Aves","Passeriformes","Emberizidae","Emberiza"
"148","Emberiza cia","Aves","Passeriformes","Emberizidae","Emberiza"
"149","Loxia curvirostra","Aves","Passeriformes","Fringillidae","Loxia"
"150","Lanius collurio","Aves","Passeriformes","Laniidae","Lanius"
"151","Timon lepidus","Reptilia","Squamata","Lacertidae","Timon"
"152","Cuculus canorus","Aves","Cuculiformes","Cuculidae","Cuculus"
"153","Suncus etruscus","Mammalia","Soricomorpha","Soricidae","Suncus"
"154","Periparus ater","Aves","Passeriformes","Paridae","Periparus"
"155","Anas platyrhynchos","Aves","Anseriformes","Anatidae","Anas"
"156","Pernis apivorus","Aves","Accipitriformes","Accipitridae","Pernis"
"157","Columba palumbus","Aves","Columbiformes","Columbidae","Columba"
"158","Picus viridis","Aves","Piciformes","Picidae","Picus"
"159","Sylvia atricapilla","Aves","Passeriformes","Sylviidae","Sylvia"
"160","Emberiza calandra","Aves","Passeriformes","Emberizidae","Emberiza"
"161","Passer montanus","Aves","Passeriformes","Passeridae","Passer"
"162","Parus major","Aves","Passeriformes","Paridae","Parus"
"163","Turdus merula","Aves","Passeriformes","Turdidae","Turdus"
"164","Caprimulgus europaeus","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus"
"165","Serinus serinus","Aves","Passeriformes","Fringillidae","Serinus"
"166","Pyrrhocorax pyrrhocorax","Aves","Passeriformes","Corvidae","Pyrrhocorax"
"167","Corvus corax","Aves","Passeriformes","Corvidae","Corvus"
"168","Acrocephalus arundinaceus","Aves","Passeriformes","Acrocephalidae","Acrocephalus"
"169","Falco peregrinus","Aves","Falconiformes","Falconidae","Falco"
"170","Phasianus colchicus","Aves","Galliformes","Phasianidae","Phasianus"
"171","Certhia brachydactyla","Aves","Passeriformes","Certhiidae","Certhia"
"172","Circaetus gallicus","Aves","Accipitriformes","Accipitridae","Circaetus"
"173","Accipiter nisus","Aves","Accipitriformes","Accipitridae","Accipiter"
"174","Strix aluco","Aves","Strigiformes","Strigidae","Strix"
"175","Pyrrhula pyrrhula","Aves","Passeriformes","Fringillidae","Pyrrhula"
"176","Motacilla cinerea","Aves","Passeriformes","Motacillidae","Motacilla"
"177","Prunella modularis","Aves","Passeriformes","Prunellidae","Prunella"
"178","Saxicola torquatus","Aves","Passeriformes","Muscicapidae","Saxicola"
"179","Oriolus oriolus","Aves","Passeriformes","Oriolidae","Oriolus"
"180","Motacilla flava","Aves","Passeriformes","Motacillidae","Motacilla"
"181","Turdus viscivorus","Aves","Passeriformes","Turdidae","Turdus"
"182","Psammodromus algirus","Reptilia","Squamata","Lacertidae","Psammodromus"
"183","Crocidura russula","Mammalia","Soricomorpha","Soricidae","Crocidura"
"184","Anthus trivialis","Aves","Passeriformes","Motacillidae","Anthus"
"185","Corvus corone","Aves","Passeriformes","Corvidae","Corvus"
"186","Garrulus glandarius","Aves","Passeriformes","Corvidae","Garrulus"
"187","Buteo buteo","Aves","Accipitriformes","Accipitridae","Buteo"
"188","Erithacus rubecula","Aves","Passeriformes","Muscicapidae","Erithacus"
"189","Coturnix coturnix","Aves","Galliformes","Phasianidae","Coturnix"
"190","Streptopelia decaocto","Aves","Columbiformes","Columbidae","Streptopelia"
"191","Aquila chrysaetos","Aves","Accipitriformes","Accipitridae","Aquila"
"192","Milvus milvus","Aves","Accipitriformes","Accipitridae","Milvus"
"193","Canis lupus","Mammalia","Carnivora","Canidae","Canis"
"194","Hieraaetus pennatus","Aves","Accipitriformes","Accipitridae","Hieraaetus"
"195","Circus aeruginosus","Aves","Accipitriformes","Accipitridae","Circus"
"196","Circus cyaneus","Aves","Accipitriformes","Accipitridae","Circus"
"197","Aquila fasciata","Aves","Accipitriformes","Accipitridae","Aquila"
"198","Aegypius monachus","Aves","Accipitriformes","Accipitridae","Aegypius"
"199","Lutra lutra","Mammalia","Carnivora","Mustelidae","Lutra"
"200","Triturus marmoratus","Amphibia","Caudata","Salamandridae","Triturus"
