"","Predator","Prey"
"136","Phalacrocorax carbo","Arvicola scherman"
"137","Phalacrocorax pygmaeus","Arvicola amphibius"
"138","Phalacrocorax pygmaeus","Arvicola sapidus"
"139","Phalacrocorax pygmaeus","Arvicola scherman"
"140","Ardea cinerea","Alytes cisternasii"
"141","Ardea cinerea","Alytes dickhilleni"
"142","Ardea cinerea","Alytes muletensis"
"143","Ardea cinerea","Alytes obstetricans"
"144","Ardea cinerea","Bombina bombina"
"145","Ardea cinerea","Bombina pachypus"
"146","Ardea cinerea","Bombina variegata"
"147","Ardea cinerea","Bufo bufo"
"148","Ardea cinerea","Epidalea calamita"
"149","Ardea cinerea","Bufo verrucosissimus"
"150","Ardea cinerea","Bufotes viridis"
"151","Ardea cinerea","Chioglossa lusitanica"
"152","Ardea cinerea","Discoglossus galganoi"
"153","Ardea cinerea","Discoglossus jeanneae"
"154","Ardea cinerea","Discoglossus montalentii"
"155","Ardea cinerea","Discoglossus pictus"
"156","Ardea cinerea","Discoglossus sardus"
"157","Ardea cinerea","Calotriton asper"
"158","Ardea cinerea","Hyla arborea"
"159","Ardea cinerea","Hyla intermedia"
"160","Ardea cinerea","Hyla meridionalis"
"161","Ardea cinerea","Hyla sarda"
"162","Ardea cinerea","Hyla savignyi"
"163","Ardea cinerea","Pelobates cultripes"
"164","Ardea cinerea","Pelobates fuscus"
"165","Ardea cinerea","Pelobates syriacus"
"166","Ardea cinerea","Pelodytes caucasicus"
"167","Ardea cinerea","Pelodytes ibericus"
"168","Ardea cinerea","Pelodytes punctatus"
"169","Ardea cinerea","Pleurodeles waltl"
"170","Ardea cinerea","Rana arvalis"
"171","Ardea cinerea","Pelophylax bedriagae"
"172","Ardea cinerea","Pelophylax bergeri"
"173","Ardea cinerea","Pelophylax cerigensis"
"174","Ardea cinerea","Pelophylax cretensis"
"175","Ardea cinerea","Rana dalmatina"
"176","Ardea cinerea","Pelophylax epeiroticus"
"177","Ardea cinerea","Pelophylax lessonae"
"178","Ardea cinerea","Rana graeca"
"179","Ardea cinerea","Rana iberica"
"180","Ardea cinerea","Rana italica"
"181","Ardea cinerea","Pelophylax kurtmuelleri"
"182","Ardea cinerea","Rana latastei"
"183","Ardea cinerea","Rana macrocnemis"
"184","Ardea cinerea","Pelophylax perezi"
"185","Ardea cinerea","Rana pyrenaica"
"186","Ardea cinerea","Pelophylax ridibundus"
"187","Ardea cinerea","Pelophylax shqipericus"
"188","Ardea cinerea","Rana tavasensis"
"189","Ardea cinerea","Rana temporaria"
"190","Ardea cinerea","Salamandrina perspicillata"
"191","Ardea cinerea","Salamandrina terdigitata"
"192","Ardea cinerea","Ichthyosaura alpestris"
"193","Ardea cinerea","Lissotriton boscai"
"194","Ardea cinerea","Triturus carnifex"
"195","Ardea cinerea","Triturus cristatus"
"196","Ardea cinerea","Triturus dobrogicus"
"197","Ardea cinerea","Lissotriton helveticus"
"198","Ardea cinerea","Lissotriton italicus"
"199","Ardea cinerea","Triturus karelinii"
"200","Ardea cinerea","Triturus marmoratus"
"201","Ardea cinerea","Lissotriton montandoni"
"202","Ardea cinerea","Triturus pygmaeus"
"203","Ardea cinerea","Ommatotriton vittatus"
"204","Ardea cinerea","Lissotriton vulgaris"
"205","Ardea cinerea","Pelophylax caralitanus"
"206","Ardea cinerea","Calotriton arnoldi"
