"","role","sourceFW","estimate_(Intercept)_serengeti","std.error_(Intercept)_serengeti","estimate_(Intercept)_pyrenees","std.error_(Intercept)_pyrenees","insample","estimate_empirical_europe","estimate_(Intercept)_arctic","std.error_(Intercept)_arctic","estimate_empirical_serengeti","std.error_empirical_serengeti","estimate_empirical_pyrenees","std.error_empirical_pyrenees","estimate_(Intercept)_europe","std.error_(Intercept)_europe","estimate_empirical_arctic","std.error_empirical_arctic","r.squared_serengeti","r.squared_pyrenees","std.error_empirical_europe","r.squared_arctic"
"69","position1","pyrenees",562.140934650986,35.5578880191107,NA,NA,"between food webs",2.13876512266563,298.77669310183,21.5856967378301,0.882418087642014,0.0974101356664751,NA,NA,7763.74794778332,236.94158077109,3.11415058239141,0.551216674791644,0.217059013343759,NA,0.16994612579335,0.143182371048377
"70","position1","pyrenees",NA,NA,322.56635078515,21.1465235524137,"within food web",NA,NA,NA,NA,NA,1.23475714518275,0.565545001538094,NA,NA,NA,NA,NA,0.0239819707819077,NA,NA
"71","position1","serengeti",NA,NA,417.890682609755,24.0559086002744,"between food webs",1.75024603627549,355.225208096102,21.7975775068554,NA,NA,0.931108870999814,0.643353922105536,12770.5507676859,320.301974415127,2.55126734404467,0.556627304542118,NA,0.0106815773396288,0.229736289673868,0.0990902342942451
"72","position1","serengeti",337.525092195427,23.7252557250399,NA,NA,"within food web",NA,NA,NA,0.447965982255652,0.0649948719579706,NA,NA,NA,NA,NA,NA,0.138292889776418,NA,NA,NA
"73","position10","arctic",NA,NA,NA,NA,"within food web",NA,676.20314537686,27.0317679982019,NA,NA,NA,NA,NA,NA,0.469001704587552,0.125924463744296,NA,NA,NA,0.0677090504284235
"74","position10","arctic",1638.42630405574,50.8276335028104,862.145200338538,39.5534273773924,"between food webs",0.337760075839406,NA,NA,0.217732368512407,0.0166053350223439,0.375368330478333,0.197261071654007,20923.6157304474,356.03710372821,NA,NA,0.367426241452088,0.0183231153696613,0.0152277593333278,NA
"75","position10","europe",1314.4105023514,41.8045812385689,650.466690998206,30.5675019300908,"between food webs",NA,710.972147692947,32.4352390331493,0.213859364734266,0.0136575132284458,0.725054070298327,0.15244641459218,NA,NA,0.723310235022993,0.151095928388372,0.45306316084103,0.104425454050053,NA,0.107127237450956
"76","position10","europe",NA,NA,NA,NA,"within food web",0.264297934512485,NA,NA,NA,NA,NA,NA,16055.3048108687,257.906234074806,NA,NA,NA,NA,0.0110306875938809,NA
"77","position10","pyrenees",1402.79617163858,43.1131661549146,NA,NA,"between food webs",0.376736553402,903.29909373272,40.9196709022219,0.221795720097763,0.0140850265601437,NA,NA,20782.2808730007,327.730806977805,0.661833733854093,0.19061970402003,0.455847684382451,NA,0.0140170948547684,0.0593675088938755
"78","position10","pyrenees",NA,NA,797.723520184646,37.2780730029488,"within food web",NA,NA,NA,NA,NA,0.947975426364341,0.185913411740421,NA,NA,NA,NA,NA,0.118181666926045,NA,NA
"79","position10","serengeti",NA,NA,564.411117322234,43.0133435063649,"between food webs",0.373162893466838,518.902079185886,37.9485292118784,NA,NA,0.970565559698556,0.214516384497622,16334.2656724111,412.576175529986,0.766434682054111,0.176778973214346,NA,0.0954467656728387,0.017645943756557,0.0895962352306185
