"","FW1","FW2","geo.dist","env.dist","phylo.dist"
"1","Europe","Europe",0,0,0
"2","Europe","High Arctic",12890.2540054829,5.7832217960974,158.429941326408
"3","Europe","Pyrenees",3620.51986064352,2.46888982675163,57.3581904273599
"4","Europe","Serengeti",7495.49955357598,5.21732412492313,97.8678451077092
"5","High Arctic","Europe",12890.2540054829,5.7832217960974,4.6000555410781
"6","High Arctic","High Arctic",0,0,0
"7","High Arctic","Pyrenees",11246.1900680564,7.66403064012355,42.298081387499
"8","High Arctic","Serengeti",17778.3316161523,9.6363555117298,80.8619489977081
"9","Pyrenees","Europe",3620.51986064352,2.46888982675163,0.310995533255838
"10","Pyrenees","High Arctic",11246.1900680564,7.66403064012355,112.06468234837
"11","Pyrenees","Pyrenees",0,0,0
"12","Pyrenees","Serengeti",6710.95556117999,5.25995062130406,64.433552239609
"13","Serengeti","Europe",7495.49955357598,5.21732412492313,64.4033965171563
"14","Serengeti","High Arctic",17778.3316161523,9.6363555117298,151.852568412759
"15","Serengeti","Pyrenees",6710.95556117999,5.25995062130406,83.6776539990059
"16","Serengeti","Serengeti",0,0,0
