"","Source","Target","species","auc","aucpr","prevalence"
"79","arctic","arctic","Glaucomys sabrinus",0.992307692307692,0.642919117919118,0.0225563909774436
"80","arctic","arctic","Haliaeetus leucocephalus",0.916460125382709,0.485314405605459,0.0952380952380952
"81","arctic","arctic","Histrionicus histrionicus",0.985933503836317,0.717264747779454,0.0200501253132832
"82","arctic","arctic","Homo sapiens",0.970316622691293,0.679235461772459,0.050125313283208
"83","arctic","arctic","Junco hyemalis",0.985786802030457,0.634285714285714,0.012531328320802
"84","arctic","arctic","Lagopus lagopus",0.980193905817175,0.632086897614108,0.0476190476190476
"85","arctic","arctic","Lagopus muta",0.985714285714286,0.704904316799183,0.0350877192982456
"86","arctic","arctic","Lanius excubitor",0.921040299906279,0.29220724568166,0.0275689223057644
"87","arctic","arctic","Larus delawarensis",0.966121960940614,0.581044689773034,0.0325814536340852
"88","arctic","arctic","Larus glaucoides",0.920654911838791,0.283367037411527,0.0050125313283208
"89","arctic","arctic","Larus hyperboreus",0.904065040650406,0.417519615908954,0.075187969924812
"90","arctic","arctic","Larus smithsonianus",0.972186700767263,0.600806243550051,0.0200501253132832
"91","arctic","arctic","Aeorestes cinereus",0.981645569620253,0.368426916221034,0.0100250626566416
"92","arctic","arctic","Lepus americanus",0.989196675900277,0.736450738922181,0.0476190476190476
"93","arctic","arctic","Lepus arcticus",0.962746016869728,0.537822681004499,0.0275689223057644
"94","arctic","arctic","Leuconotopicus villosus",0.960406091370558,0.25768018018018,0.012531328320802
"95","arctic","arctic","Limnodromus griseus",0.974874371859296,0.545454545454545,0.0025062656641604
"96","arctic","arctic","Lontra canadensis",0.967005076142132,0.622001934235977,0.012531328320802
"97","arctic","arctic","Loxia curvirostra",0.989769820971867,0.581479978354978,0.0200501253132832
"98","arctic","arctic","Loxia leucoptera",0.982367758186398,0.371428571428571,0.0050125313283208
"99","arctic","arctic","Lynx canadensis",0.956841432225064,0.431833213083213,0.0200501253132832
"100","arctic","arctic","Anas americana",0.982278481012658,0.43125,0.0100250626566416
"101","arctic","arctic","Marmota monax",0.993670886075949,0.616666666666667,0.0100250626566416
"102","arctic","arctic","Martes americana",0.940791131267322,0.506533800346803,0.0526315789473684
"103","arctic","arctic","Megaceryle alcyon",0.954545454545455,0.261507936507937,0.0075187969924812
"104","arctic","arctic","Melanitta nigra",0.994962216624685,0.6,0.0050125313283208
"105","arctic","arctic","Melanitta perspicillata",0.991582491582492,0.473611111111111,0.0075187969924812
"106","arctic","arctic","Melospiza georgiana",0.987437185929648,0.583333333333333,0.0025062656641604
"107","arctic","arctic","Melospiza lincolnii",0.95959595959596,0.284547152194211,0.0075187969924812
"108","arctic","arctic","Melospiza melodia",0.967236467236467,0.350699210455308,0.0225563909774436
"109","arctic","arctic","Mephitis mephitis",0.918944936465153,0.435913278159372,0.0701754385964912
"110","arctic","arctic","Mergus merganser",0.994962216624685,0.541666666666667,0.0050125313283208
"111","arctic","arctic","Mergus serrator",0.997442455242967,0.945436507936508,0.0200501253132832
"112","arctic","arctic","Microtus chrotorrhinus",0.948730964467005,0.415656117519472,0.012531328320802
"113","arctic","arctic","Microtus pennsylvanicus",0.985414987912973,0.849940937010279,0.0852130325814536
"114","arctic","arctic","Mus musculus",0.97282099343955,0.475073847720907,0.0275689223057644
"115","arctic","arctic","Mustela erminea",0.902348690153568,0.355356211295764,0.075187969924812
"116","arctic","arctic","Mustela nivalis",0.926631016042781,0.516452159074491,0.06265664160401
"117","arctic","arctic","Myodes gapperi",0.978961955152431,0.641337226287785,0.0526315789473684
"118","arctic","arctic","Myotis lucifugus",0.942065491183879,0.291666666666667,0.0050125313283208
"119","arctic","arctic","Napaeozapus insignis",0.978862973760933,0.373201553348612,0.0175438596491228
"120","arctic","arctic","Mustela vison",0.909763905562225,0.604892061828064,0.105263157894737
"121","arctic","arctic","Odocoileus virginianus",0.98989898989899,0.423611111111111,0.0075187969924812
"122","arctic","arctic","Oenanthe oenanthe",0.974811083123426,0.772727272727273,0.0050125313283208
"123","arctic","arctic","Ondatra zibethicus",0.985850936628139,0.817981092981093,0.0325814536340852
"124","arctic","arctic","Geothlypis philadelphia",0.977386934673367,0.55,0.0025062656641604
"125","arctic","arctic","Ovibos moschatus",0.998316498316498,0.933333333333333,0.0075187969924812
"126","arctic","arctic","Pandion haliaetus",0.94080604534005,0.34469696969697,0.0050125313283208
"127","arctic","arctic","Poecile atricapillus",0.989240506329114,0.533333333333333,0.0100250626566416
"128","arctic","arctic","Poecile hudsonicus",0.99748743718593,0.75,0.0025062656641604
"129","arctic","arctic","Passer domesticus",0.980462724935733,0.624957264957265,0.025062656641604
"130","arctic","arctic","Passerculus sandwichensis",0.983487940630798,0.757281226221444,0.0350877192982456
"131","arctic","arctic","Passerella iliaca",0.991942324003393,0.564387464387464,0.0150375939849624
"132","arctic","arctic","Perisoreus canadensis",0.893576388888889,0.199647788066745,0.037593984962406
"133","arctic","arctic","Peromyscus maniculatus",0.960094864920602,0.583324198351839,0.0651629072681704
"134","arctic","arctic","Petrochelidon pyrrhonota",0.972858354537744,0.682407407407407,0.0150375939849624
"135","arctic","arctic","Phalacrocorax auritus",0.990355329949239,0.747252747252747,0.012531328320802
"136","arctic","arctic","Phalaropus fulicarius",0.990409207161125,0.741503910176511,0.0200501253132832
"137","arctic","arctic","Phalaropus lobatus",0.980491942324003,0.497630718954248,0.0150375939849624
"138","arctic","arctic","Phenacomys ungava",0.958404558404558,0.351900728499566,0.0225563909774436
"139","arctic","arctic","Picoides arcticus",0.98989898989899,0.438888888888889,0.0075187969924812
"140","arctic","arctic","Picoides tridactylus",0.984924623115578,0.571428571428571,0.0025062656641604
"141","arctic","arctic","Pinicola enucleator",0.994974874371859,0.666666666666667,0.0025062656641604
"142","arctic","arctic","Plectrophenax nivalis",0.977272727272727,0.535205744076712,0.0275689223057644
"143","arctic","arctic","Pooecetes gramineus",0.980710659898477,0.500392156862745,0.012531328320802
"144","arctic","arctic","Porzana carolina",0.984810126582279,0.389880952380952,0.0100250626566416
"145","arctic","arctic","Rangifer tarandus",0.997474747474748,0.916666666666667,0.0075187969924812
"146","arctic","arctic","Regulus calendula",0.987373737373737,0.425,0.0075187969924812
"147","arctic","arctic","Regulus satrapa",0.989949748743719,0.6,0.0025062656641604
"148","arctic","arctic","Riparia riparia",0.99748743718593,0.75,0.0025062656641604
"149","arctic","arctic","Seiurus aurocapilla",0.977664974619289,0.704224270353303,0.012531328320802
"150","arctic","arctic","Setophaga ruticilla",0.984335038363171,0.682612192707474,0.0200501253132832
"151","arctic","arctic","Sitta canadensis",0.987405541561713,0.466666666666667,0.0050125313283208
"152","arctic","arctic","Somateria mollissima",0.995204603580563,0.758996212121212,0.0200501253132832
"153","arctic","arctic","Sorex arcticus",0.963753213367609,0.372246562261268,0.025062656641604
"154","arctic","arctic","Sorex cinereus",0.962734157034675,0.365655132659719,0.0325814536340852
"155","arctic","arctic","Sorex palustris",0.963753213367609,0.423043019868701,0.025062656641604
"156","arctic","arctic","Sphyrapicus varius",0.947103274559194,0.30184331797235,0.0050125313283208
"157","arctic","arctic","Spizelloides arborea",0.987749287749288,0.626216931216931,0.0225563909774436
"158","arctic","arctic","Stercorarius longicaudus",0.901385041551247,0.30547077961874,0.0476190476190476
"159","arctic","arctic","Stercorarius parasiticus",0.880615097856477,0.298896673585531,0.0726817042606516
"160","arctic","arctic","Stercorarius pomarinus",0.897794741306191,0.194645414079158,0.0150375939849624
"161","arctic","arctic","Sterna hirundo",0.968354430379747,0.454809725158562,0.0100250626566416
"162","arctic","arctic","Sterna paradisaea",0.981748071979434,0.634716766972864,0.025062656641604
"163","arctic","arctic","Strix nebulosa",0.9311345646438,0.527921803051378,0.050125313283208
"164","arctic","arctic","Strix varia",0.916593759113444,0.371978012169396,0.0451127819548872
"165","arctic","arctic","Sturnella magna",0.991582491582492,0.454761904761905,0.0075187969924812
"166","arctic","arctic","Sturnus vulgaris",0.975578406169666,0.543246958071766,0.025062656641604
"167","arctic","arctic","Surnia ulula",0.936004031242126,0.48093253987314,0.0526315789473684
"168","arctic","arctic","Synaptomys borealis",0.979859335038363,0.399910538378031,0.0200501253132832
"169","arctic","arctic","Synaptomys cooperi",0.974807197943445,0.388941431749178,0.025062656641604
"170","arctic","arctic","Tachycineta bicolor",0.978580562659847,0.663710273466371,0.0200501253132832
"171","arctic","arctic","Tamias striatus",0.93179419525066,0.430309182025436,0.050125313283208
"172","arctic","arctic","Tamiasciurus hudsonicus",0.879670760386726,0.38586381572499,0.107769423558897
"173","arctic","arctic","Tringa melanoleuca",0.989949748743719,0.6,0.0025062656641604
"174","arctic","arctic","Tringa solitaria",0.971380471380471,0.578463203463203,0.0075187969924812
"175","arctic","arctic","Troglodytes troglodytes",0.97540288379983,0.42453216374269,0.0150375939849624
"176","arctic","arctic","Turdus migratorius",0.972748041775457,0.684081114357593,0.0401002506265664
"177","arctic","arctic","Tympanuchus phasianellus",0.986003445305771,0.787880547636645,0.0300751879699248
"178","arctic","arctic","Tyrannus tyrannus",0.994303797468354,0.854166666666667,0.0100250626566416
"179","arctic","arctic","Uria lomvia",0.97840616966581,0.650992063492064,0.025062656641604
"180","arctic","arctic","Ursus americanus",0.936339522546419,0.60145142062224,0.0551378446115288
"181","arctic","arctic","Ursus maritimus",1,1,0.0025062656641604
"182","arctic","arctic","Leiothlypis celata",0.998316498316498,0.933333333333333,0.0075187969924812
"183","arctic","arctic","Leiothlypis peregrina",1,1,0.0025062656641604
"184","arctic","arctic","Leiothlypis ruficapilla",1,1,0.0025062656641604
"185","arctic","arctic","Vireo olivaceus",0.975634517766497,0.400680044593088,0.012531328320802
"186","arctic","arctic","Vireo solitarius",0.965994962216625,0.32177033492823,0.0050125313283208
"187","arctic","arctic","Vulpes lagopus",0.888964577656675,0.451302325460698,0.0802005012531328
"188","arctic","arctic","Vulpes vulpes",0.927791427791428,0.751616005284177,0.165413533834586
"189","arctic","arctic","Cardellina canadensis",1,1,0.0025062656641604
"190","arctic","arctic","Cardellina pusilla",0.97984886649874,0.529411764705882,0.0050125313283208
"191","arctic","arctic","Zapus hudsonius",0.982118055555556,0.593128976519294,0.037593984962406
"192","arctic","arctic","Zonotrichia albicollis",0.976675148430874,0.472792022792023,0.0150375939849624
"193","arctic","arctic","Zonotrichia leucophrys",0.98469387755102,0.69822373393802,0.0175438596491228
"194","arctic","europe","Discoglossus montalentii",0.888139670979895,0.188595239813904,0.0308778120864579
"195","arctic","europe","Discoglossus pictus",0.907913650090329,0.220645864747351,0.0304367004852228
"196","arctic","europe","Discoglossus sardus",0.886006892515754,0.183354849941264,0.0308778120864579
"197","arctic","europe","Calotriton asper",0.907857941834451,0.149512086257039,0.0141155712395236
"198","arctic","europe","Euproctus montanus",0.853917797124922,0.067076296790821,0.00970445522717247
"199","arctic","europe","Pelobates cultripes",0.893385620601035,0.25715772540664,0.0335244816938685
"200","arctic","europe","Pleurodeles waltl",0.886106585440728,0.126163232335608,0.0167622408469343
"201","arctic","europe","Pelophylax bedriagae",0.916819717749949,0.429953758021623,0.0516100573445082
"202","arctic","europe","Pelophylax bergeri",0.918950506857479,0.392196608448019,0.0516100573445082
"203","arctic","europe","Pelophylax cerigensis",0.916689075219402,0.434761018169467,0.0502867225408028
"204","arctic","europe","Pelophylax cretensis",0.913963380350548,0.424478753533614,0.0502867225408028
"205","arctic","europe","Pelophylax epeiroticus",0.94432570135104,0.450114116105174,0.0520511689457433
"206","arctic","europe","Pelophylax lessonae",0.912608150420768,0.452042681974792,0.0520511689457433
"207","arctic","europe","Pelophylax kurtmuelleri",0.924659249174526,0.463886460579594,0.0524922805469784
"208","arctic","europe","Pelophylax ridibundus",0.899893003171688,0.408246287502876,0.0538156153506837
"209","arctic","europe","Rana temporaria",0.92274792543245,0.448296726282497,0.0564622849580944
"210","arctic","europe","Salamandra corsica",0.932392156862745,0.09047346675671,0.00749889722099691
"211","arctic","europe","Salamandra infraimmaculata",0.874692810457518,0.0807013809259514,0.00749889722099691
"212","arctic","europe","Salamandra salamandra",0.932758169934641,0.0886023868480728,0.00749889722099691
"213","arctic","europe","Ichthyosaura alpestris",0.877687243935,0.0976755795615823,0.0172033524481694
"214","arctic","europe","Triturus carnifex",0.883461530033086,0.134508449745216,0.0180855756506396
"215","arctic","europe","Lissotriton helveticus",0.866237152937566,0.101918644016005,0.0180855756506396
"216","arctic","europe","Lissotriton italicus",0.881358467983247,0.109339094760964,0.0172033524481694
"217","arctic","europe","Triturus marmoratus",0.888720881817984,0.111259397230787,0.0180855756506396
"218","arctic","europe","Triturus pygmaeus",0.845999605548624,0.110746958170962,0.0180855756506396
"219","arctic","europe","Ommatotriton vittatus",0.842970417006941,0.0977631089793644,0.0149977944419938
"220","arctic","europe","Pelophylax caralitanus",0.897118091978133,0.428766891255717,0.0520511689457433
"221","arctic","europe","Ommatotriton ophryticus",0.836656746031741,0.0762443176325506,0.011910013233348
"222","arctic","europe","Gavia stellata",0.742844364937392,0.0779133881281944,0.0136744596382885
"223","arctic","europe","Gavia immer",0.702370318381932,0.0462045953471944,0.0123511248345831
"224","arctic","europe","Tachybaptus ruficollis",0.811160384331116,0.0616099888119966,0.00529333921482135
"225","arctic","europe","Podiceps cristatus",0.826928281461433,0.0740364462676146,0.0220555800617556
"226","arctic","europe","Podiceps grisegena",0.829029372727797,0.0775193632236534,0.0136744596382885
"227","arctic","europe","Podiceps nigricollis",0.834828899532576,0.0970653422902276,0.0136744596382885
"228","arctic","europe","Fulmarus glacialis",0.886066843736166,0.0989566903441655,0.0035288928098809
"229","arctic","europe","Phalacrocorax carbo",0.847602131438722,0.158624009913654,0.00661667401852669
"230","arctic","europe","Phalacrocorax pygmaeus",0.846972902873518,0.110421435295696,0.00573445081605646
"231","arctic","europe","Ardea cinerea",0.743108072409458,0.218751226816821,0.0961623290692545
"232","arctic","europe","Ardea purpurea",0.789736615440412,0.258001505750861,0.0948389942655492
"233","arctic","europe","Ardea alba",0.791385956308132,0.274531761463497,0.100573445081606
"234","arctic","europe","Egretta garzetta",0.848231237998932,0.270543431956182,0.07851786501985
"235","arctic","europe","Ardeola ralloides",0.727688559346855,0.0746304661511218,0.0344067048963388
"236","arctic","europe","Bubulcus ibis",0.824004545313036,0.432773652321096,0.146449051610057
"237","arctic","europe","Nycticorax nycticorax",0.801824921585398,0.219200002406007,0.0736656374062638
"238","arctic","europe","Ixobrychus minutus",0.809290273792843,0.192783588105251,0.0555800617556242
"239","arctic","europe","Botaurus stellaris",0.813375637675752,0.253557532975206,0.0670489633877371
"240","arctic","europe","Ciconia nigra",0.704167694271521,0.257366653369697,0.173797970886634
"241","arctic","europe","Ciconia ciconia",0.700407724589716,0.230172173252427,0.163652404058227
"242","arctic","europe","Plegadis falcinellus",0.978817299205649,0.510204081632653,0.000441111601235112
"243","arctic","europe","Platalea leucorodia",0.645876927846238,0.0405613271336251,0.0101455668284076
"244","arctic","europe","Cygnus olor",0.569756735801512,0.0422271853776851,0.0247022496691663
"245","arctic","europe","Tadorna ferruginea",0.658655717761559,0.127160311231541,0.0330833700926334
"246","arctic","europe","Anas penelope",0.978737318956167,0.381058177919084,0.0123511248345831
"247","arctic","europe","Anas strepera",0.979198331098197,0.353781766980038,0.0132333480370534
"248","arctic","europe","Anas platyrhynchos",0.972403516614514,0.30107008065862,0.0132333480370534
"249","arctic","europe","Anas acuta",0.980428124800613,0.382662575202716,0.0123511248345831
"250","arctic","europe","Anas querquedula",0.976487627499923,0.346679985925268,0.0127922364358183
"251","arctic","europe","Anas clypeata",0.968413916366214,0.295537514038503,0.0127922364358183
"252","arctic","europe","Netta rufina",0.976842105263158,0.312035081242356,0.0110277900308778
"253","arctic","europe","Aythya ferina",0.973440475503491,0.297988217145151,0.0136744596382885
"254","arctic","europe","Aythya nyroca",0.972404100529101,0.307816499327973,0.011910013233348
"255","arctic","europe","Bucephala clangula",0.782061426065859,0.121242443346917,0.0304367004852228
"256","arctic","europe","Mergellus albellus",0.74631365908058,0.100404131668241,0.0291133656815174
"257","arctic","europe","Mergus serrator",0.835598600146499,0.21618592909059,0.0145566828407587
"258","arctic","europe","Mergus merganser",0.833167989417998,0.175442137532657,0.011910013233348
"259","arctic","europe","Pandion haliaetus",0.742104176055283,0.0530210097501939,0.0211733568592854
"260","arctic","europe","Pernis apivorus",0.660401663109743,0.07108696773067,0.0480811645346273
"261","arctic","europe","Elanus caeruleus",0.821988388969524,0.262194981610033,0.0882223202470225
"262","arctic","europe","Milvus milvus",0.746841939779534,0.298364976947695,0.148213498014998
"263","arctic","europe","Milvus migrans",0.841846302756549,0.403067951640236,0.133656815174239
"264","arctic","europe","Haliaeetus albicilla",0.869578733027902,0.329103534093928,0.104102337891487
"265","arctic","europe","Gypaetus barbatus",0.88442285041225,0.172411119736625,0.00132333480370534
"266","arctic","europe","Neophron percnopterus",0.53486319505737,0.500473933649289,0.000441111601235112
"267","arctic","europe","Aegypius monachus",0.760444630872486,0.0460349616480705,0.0141155712395236
"268","arctic","europe","Circaetus gallicus",0.785898941994617,0.14337138423026,0.0569033965593295
"269","arctic","europe","Circus aeruginosus",0.867223391923541,0.331293579014272,0.0904278782531981
"270","arctic","europe","Circus cyaneus",0.880822609970551,0.440201040364121,0.104984561093957
"271","arctic","europe","Circus macrourus",0.842659705159705,0.362138434406972,0.102337891486546
"272","arctic","europe","Circus pygargus",0.860457365533508,0.458564371325179,0.131010145566828
"273","arctic","europe","Accipiter brevipes",0.840279252495226,0.0922738948930751,0.0224966916629907
"274","arctic","europe","Accipiter nisus",0.894415614674234,0.505892739327461,0.102337891486546
"275","arctic","europe","Accipiter gentilis",0.807245777613031,0.211088830063064,0.089986766651963
"276","arctic","europe","Buteo buteo",0.838031253357132,0.461072970139802,0.170269078076753
"277","arctic","europe","Buteo rufinus",0.788331989568846,0.338878975308103,0.15615350683723
"278","arctic","europe","Buteo lagopus",0.83286329588015,0.339733827931769,0.117776797529775
"279","arctic","europe","Aquila pomarina",0.802366827644886,0.441638117800581,0.208645787384208
"280","arctic","europe","Aquila clanga",0.828751385397236,0.219710895329134,0.0780767534186149
"281","arctic","europe","Aquila nipalensis",0.744538830534507,0.242158397580745,0.121746801940891
"282","arctic","europe","Aquila adalberti",0.873604446767066,0.170187483301664,0.0427878253198059
"283","arctic","europe","Aquila heliaca",0.872234959285312,0.29657405964987,0.0802823114247905
"284","arctic","europe","Aquila chrysaetos",0.847421764173033,0.364438240731516,0.131010145566828
"285","arctic","europe","Aquila fasciata",0.874910398375989,0.273601341336201,0.0732245258050287
"286","arctic","europe","Hieraaetus pennatus",0.762822141304654,0.0975613462710389,0.043228936921041
"287","arctic","europe","Falco naumanni",0.854949170679501,0.092076923378342,0.0185266872518747
"288","arctic","europe","Falco tinnunculus",0.865658736331732,0.559373800597787,0.17688575209528
"289","arctic","europe","Falco vespertinus",0.888083065647196,0.544900113795965,0.152183502426114
"290","arctic","europe","Falco eleonorae",0.824259674007716,0.168038348144272,0.0670489633877371
"291","arctic","europe","Falco columbarius",0.879951340904707,0.47305041343988,0.13806793118659
"292","arctic","europe","Falco subbuteo",0.844935211846976,0.312534920084609,0.082487869430966
"293","arctic","europe","Falco biarmicus",0.874231164585543,0.40323120066019,0.133215703573004
"294","arctic","europe","Falco cherrug",0.824347683319343,0.394491328687805,0.147331274812528
"295","arctic","europe","Falco rusticolus",0.772502272660625,0.183358538178985,0.0714600794000882
"296","arctic","europe","Falco peregrinus",0.852178429631822,0.421324069267285,0.148213498014998
"297","arctic","europe","Lagopus muta",0.938772165102069,0.356993525984914,0.0132333480370534
"298","arctic","europe","Francolinus francolinus",0.975702184574231,0.271351023623959,0.0105866784296427
"299","arctic","europe","Phasianus colchicus",0.976758612730106,0.348389064441117,0.0136744596382885
"300","arctic","europe","Grus grus",0.6283223209539,0.178166016638959,0.150860167622408
"301","arctic","europe","Rallus aquaticus",0.82340684146553,0.182288972258577,0.0229378032642258
"302","arctic","europe","Crex crex",0.970463159840991,0.298722118707907,0.0127922364358183
"303","arctic","europe","Porphyrio porphyrio",0.774965485503912,0.0634850188706198,0.0180855756506396
"304","arctic","europe","Gallinula chloropus",0.617841163310963,0.032877445757936,0.0141155712395236
"305","arctic","europe","Fulica cristata",0.956803708559656,0.308882554398215,0.00838112042346714
"306","arctic","europe","Fulica atra",0.932409476978093,0.242748751450512,0.0132333480370534
"307","arctic","europe","Otis tarda",0.710288186312775,0.219212568490221,0.13895015438906
"308","arctic","europe","Tetrax tetrax",0.681283948304924,0.0430165696710751,0.00838112042346714
"309","arctic","europe","Haematopus ostralegus",0.901052844705398,0.155757659403139,0.00970445522717247
"310","arctic","europe","Himantopus himantopus",0.567433897660263,0.0424115506484594,0.00617556241729157
