"","species","role","predicted","targetFW","sourceFW"
"102","25","position15",0.02,"Serengeti2","Arctic"
"103","25","position16",1.6,"Serengeti2","Arctic"
"104","25","position17",95.93,"Serengeti2","Arctic"
"105","25","position18",0,"Serengeti2","Arctic"
"106","25","position19",0.13,"Serengeti2","Arctic"
"107","25","position20",0.24,"Serengeti2","Arctic"
"108","25","position21",0.71,"Serengeti2","Arctic"
"109","25","position22",0,"Serengeti2","Arctic"
"110","25","position23",0.31,"Serengeti2","Arctic"
"111","25","position24",0.18,"Serengeti2","Arctic"
"112","25","position25",0.06,"Serengeti2","Arctic"
"113","25","position26",0,"Serengeti2","Arctic"
"114","25","position27",0,"Serengeti2","Arctic"
"115","25","position28",0.83,"Serengeti2","Arctic"
"116","25","position29",0.54,"Serengeti2","Arctic"
"117","25","position30",0,"Serengeti2","Arctic"
"118","26","indegree",1.1,"Serengeti2","Arctic"
"119","26","outdegree",19.79,"Serengeti2","Arctic"
"120","26","betweeness",0.898308310881752,"Serengeti2","Arctic"
"121","26","closeness",0.643798677544268,"Serengeti2","Arctic"
"122","26","eigen",0.312410313822466,"Serengeti2","Arctic"
"123","26","TL",2.599203248769,"Serengeti2","Arctic"
"124","26","OI",0.288242150739081,"Serengeti2","Arctic"
"125","26","within_module_degree",-1.04581854357288,"Serengeti2","Arctic"
"126","26","among_module_conn",0.486689565674559,"Serengeti2","Arctic"
"127","26","position1",2.28,"Serengeti2","Arctic"
"128","26","position2",3.27,"Serengeti2","Arctic"
"129","26","position3",60.88,"Serengeti2","Arctic"
"130","26","position4",0.12,"Serengeti2","Arctic"
"131","26","position5",91.32,"Serengeti2","Arctic"
"132","26","position6",14,"Serengeti2","Arctic"
"133","26","position7",0.15,"Serengeti2","Arctic"
"134","26","position8",8.43,"Serengeti2","Arctic"
"135","26","position9",11.71,"Serengeti2","Arctic"
"136","26","position10",406.08,"Serengeti2","Arctic"
"137","26","position11",0.28,"Serengeti2","Arctic"
"138","26","position12",0.06,"Serengeti2","Arctic"
"139","26","position13",85.48,"Serengeti2","Arctic"
"140","26","position14",1.49,"Serengeti2","Arctic"
"141","26","position15",0.02,"Serengeti2","Arctic"
"142","26","position16",2.24,"Serengeti2","Arctic"
"143","26","position17",93.27,"Serengeti2","Arctic"
"144","26","position18",0,"Serengeti2","Arctic"
"145","26","position19",0.17,"Serengeti2","Arctic"
"146","26","position20",0.43,"Serengeti2","Arctic"
"147","26","position21",1.02,"Serengeti2","Arctic"
"148","26","position22",0,"Serengeti2","Arctic"
"149","26","position23",0.54,"Serengeti2","Arctic"
"150","26","position24",0.22,"Serengeti2","Arctic"
"151","26","position25",0.03,"Serengeti2","Arctic"
"152","26","position26",0.05,"Serengeti2","Arctic"
"153","26","position27",0.01,"Serengeti2","Arctic"
"154","26","position28",1.18,"Serengeti2","Arctic"
"155","26","position29",0.71,"Serengeti2","Arctic"
"156","26","position30",0,"Serengeti2","Arctic"
"157","27","indegree",1.02,"Serengeti2","Arctic"
"158","27","outdegree",19.87,"Serengeti2","Arctic"
"159","27","betweeness",2.32917199538066,"Serengeti2","Arctic"
"160","27","closeness",0.64645482692126,"Serengeti2","Arctic"
"161","27","eigen",0.313355983561203,"Serengeti2","Arctic"
"162","27","TL",2.73195764647068,"Serengeti2","Arctic"
"163","27","OI",0.328802490122293,"Serengeti2","Arctic"
"164","27","within_module_degree",-1.03750060346665,"Serengeti2","Arctic"
"165","27","among_module_conn",0.481604578432741,"Serengeti2","Arctic"
"166","27","position1",1.85,"Serengeti2","Arctic"
"167","27","position2",2.77,"Serengeti2","Arctic"
"168","27","position3",60.58,"Serengeti2","Arctic"
"169","27","position4",0.11,"Serengeti2","Arctic"
"170","27","position5",92.67,"Serengeti2","Arctic"
"171","27","position6",12.1,"Serengeti2","Arctic"
"172","27","position7",0.15,"Serengeti2","Arctic"
"173","27","position8",7.82,"Serengeti2","Arctic"
"174","27","position9",11.82,"Serengeti2","Arctic"
"175","27","position10",406.93,"Serengeti2","Arctic"
"176","27","position11",0.25,"Serengeti2","Arctic"
"177","27","position12",0.07,"Serengeti2","Arctic"
"178","27","position13",84.33,"Serengeti2","Arctic"
"179","27","position14",1.76,"Serengeti2","Arctic"
"180","27","position15",0.01,"Serengeti2","Arctic"
