"","metric","predicted","targetFW","sourceFW"
"108","motif10",1540.49,"Pyrenees","Pyrenees"
"109","motif11",1075.63,"Pyrenees","Pyrenees"
"110","motif12",3152.9,"Pyrenees","Pyrenees"
"111","motif13",741.83,"Pyrenees","Pyrenees"
"112","diameter",6.7,"Pyrenees","Pyrenees"
"113","n_clusters",4.15,"Pyrenees","Pyrenees"
"114","modularity",0.0774906481611407,"Pyrenees","Pyrenees"
"115","connectance",0.192364598969532,"Serengeti","Pyrenees"
"116","meanTL",3.58609362999828,"Serengeti","Pyrenees"
"117","maxTL",6.52871308508464,"Serengeti","Pyrenees"
"118","motif1",127576.41,"Serengeti","Pyrenees"
"119","motif2",255552.28,"Serengeti","Pyrenees"
"120","motif3",2395.91,"Serengeti","Pyrenees"
"121","motif4",121142.93,"Serengeti","Pyrenees"
"122","motif5",925818,"Serengeti","Pyrenees"
"123","motif6",138941.09,"Serengeti","Pyrenees"
"124","motif7",13502.66,"Serengeti","Pyrenees"
"125","motif8",133268.16,"Serengeti","Pyrenees"
"126","motif9",16097.85,"Serengeti","Pyrenees"
"127","motif10",12882.68,"Serengeti","Pyrenees"
"128","motif11",7434.36,"Serengeti","Pyrenees"
"129","motif12",22855.83,"Serengeti","Pyrenees"
"130","motif13",7427.56,"Serengeti","Pyrenees"
"131","diameter",5.78,"Serengeti","Pyrenees"
"132","n_clusters",4.01,"Serengeti","Pyrenees"
"133","modularity",0.10281358292383,"Serengeti","Pyrenees"
"134","connectance",0.143072212424064,"Euro","Pyrenees"
"135","meanTL",5.39597890815281,"Euro","Pyrenees"
"136","maxTL",8.75516141676601,"Euro","Pyrenees"
"137","motif1",3723288.9,"Euro","Pyrenees"
"138","motif2",7953100.14,"Euro","Pyrenees"
"139","motif3",48653.17,"Euro","Pyrenees"
"140","motif4",4315140.51,"Euro","Pyrenees"
"141","motif5",38317933.16,"Euro","Pyrenees"
"142","motif6",3030429.43,"Euro","Pyrenees"
"143","motif7",303801.66,"Euro","Pyrenees"
"144","motif8",3137990.56,"Euro","Pyrenees"
"145","motif9",379605.57,"Euro","Pyrenees"
"146","motif10",212224.33,"Euro","Pyrenees"
"147","motif11",74434.7,"Euro","Pyrenees"
"148","motif12",308174.77,"Euro","Pyrenees"
"149","motif13",115674.95,"Euro","Pyrenees"
"150","diameter",6.04,"Euro","Pyrenees"
"151","n_clusters",6.29,"Euro","Pyrenees"
"152","modularity",0.10348291040785,"Euro","Pyrenees"
