"","Source","Target","draw","tpr","tnr","ppv","npv"
"1","Arctic","Arctic",1,0.832826747720365,0.850484105903522,0.135710747894998,0.994489530107204
"2","Arctic","Arctic",2,0.866261398176292,0.839516750921086,0.132066728452271,0.995529363950417
"3","Arctic","Arctic",3,0.878419452887538,0.84679976008911,0.1391429947039,0.995968960999698
"4","Arctic","Arctic",4,0.841945288753799,0.848684774226716,0.13558492413118,0.994777543436778
"5","Arctic","Arctic",5,0.835866261398176,0.852454802501928,0.13770655983976,0.994601619514146
"6","Arctic","Arctic",6,0.844984802431611,0.847570902236312,0.135148274185707,0.994870763351101
"7","Arctic","Arctic",7,0.841945288753799,0.846199982863508,0.133687258687259,0.994762288477035
"8","Arctic","Arctic",8,0.860182370820669,0.855882100933939,0.144020356234097,0.995416043846537
"9","Arctic","Arctic",9,0.875379939209726,0.856910290463542,0.14708886618999,0.99591714797849
"10","Arctic","Arctic",10,0.875379939209726,0.844229286265102,0.136752136752137,0.995856074388518
"11","Arctic","Arctic",11,0.832826747720365,0.844314968725902,0.131037780966045,0.994449490362297
"12","Arctic","Arctic",12,0.854103343465046,0.845086110873104,0.134514121589277,0.995156896377762
"13","Arctic","Arctic",13,0.838905775075988,0.844657698569103,0.132120631881283,0.994652406417112
"14","Arctic","Arctic",14,0.857142857142857,0.845771570559506,0.135446685878963,0.995261141359145
"15","Arctic","Arctic",15,0.893617021276596,0.847999314540314,0.142166344294004,0.996476037051953
"16","Arctic","Arctic",16,0.854103343465046,0.847485219775512,0.136341581756429,0.995170540295804
"17","Arctic","Arctic",17,0.881458966565349,0.842772684431497,0.136470588235294,0.996050632911392
"18","Arctic","Arctic",18,0.866261398176292,0.847827949618713,0.138282387190684,0.995572995271154
"19","Arctic","Arctic",19,0.875379939209726,0.853654356953132,0.144288577154309,0.995901639344262
"20","Arctic","Arctic",20,0.841945288753799,0.845428840716305,0.133109082172033,0.99475753604194
"21","Arctic","Arctic",21,0.86322188449848,0.845000428412304,0.135690396559962,0.995457757141415
"22","Arctic","Arctic",22,0.829787234042553,0.844743381029903,0.130935251798561,0.994351991931417
"23","Arctic","Arctic",23,0.851063829787234,0.853654356953132,0.140845070422535,0.995105872952457
"24","Arctic","Arctic",24,0.866261398176292,0.839688115842687,0.132189239332096,0.995530272247054
"25","Arctic","Arctic",25,0.857142857142857,0.835832405106675,0.128298453139217,0.995205060191798
"26","Arctic","Arctic",26,0.844984802431611,0.851255248050724,0.138033763654419,0.994892849989986
"27","Arctic","Arctic",27,0.832826747720365,0.85930939936595,0.143006263048017,0.994545815152717
"28","Arctic","Arctic",28,0.851063829787234,0.864364664553166,0.150295222758991,0.995166222748348
"29","Arctic","Arctic",29,0.860182370820669,0.842258589666695,0.133239171374765,0.99534224382341
"30","Arctic","Arctic",30,0.826747720364742,0.848342044383515,0.133202742409403,0.994275959027917
"31","Arctic","Arctic",31,0.826747720364742,0.857767115071545,0.140786749482402,0.994338498212157
"32","Arctic","Arctic",32,0.857142857142857,0.856824608002742,0.144393241167435,0.995321986662685
"33","Arctic","Arctic",33,0.844984802431611,0.843972238882701,0.132444020962363,0.994849005150995
"34","Arctic","Arctic",34,0.866261398176292,0.842172907205895,0.133991537376587,0.995543401195179
"35","Arctic","Arctic",35,0.854103343465046,0.844057921343501,0.133745835316516,0.995151025356097
"36","Arctic","Arctic",36,0.869300911854103,0.846114300402708,0.137367915465898,0.995664448477516
"37","Arctic","Arctic",37,0.878419452887538,0.854511181561134,0.145445395067942,0.996005193248777
"38","Arctic","Arctic",38,0.881458966565349,0.841573129980293,0.135577372604021,0.996045025859446
"39","Arctic","Arctic",39,0.899696048632219,0.846114300402708,0.141491395793499,0.996669358094469
"40","Arctic","Arctic",40,0.887537993920973,0.851512295433125,0.144197530864198,0.996290726817043
"41","Arctic","Arctic",41,0.884498480243161,0.848342044383515,0.141193595342067,0.996176677734179
"42","Arctic","Arctic",42,0.86322188449848,0.841573129980293,0.13314580403188,0.99543934326543
"43","Arctic","Arctic",43,0.851063829787234,0.84671407762831,0.13533107781537,0.995065955090122
"44","Arctic","Arctic",44,0.887537993920973,0.844486333647502,0.138585666824869,0.996259981805317
"45","Arctic","Arctic",45,0.857142857142857,0.854768228943535,0.142640364188164,0.995310785194054
"46","Arctic","Arctic",46,0.841945288753799,0.862993745180362,0.147654584221748,0.994863690241012
"47","Arctic","Arctic",47,0.86322188449848,0.841573129980293,0.13314580403188,0.99543934326543
"48","Arctic","Arctic",48,0.854103343465046,0.853740039413932,0.141348088531187,0.995205753096284
"49","Arctic","Arctic",49,0.844984802431611,0.853482992031531,0.139839034205231,0.994906112664802
"50","Arctic","Arctic",50,0.878419452887538,0.852026390197926,0.143353174603175,0.99599358974359
"51","Arctic","Arctic",51,0.875379939209726,0.840287893068289,0.133828996282528,0.995836718115353
"52","Arctic","Arctic",52,0.881458966565349,0.842258589666695,0.13608634443923,0.996048231837066
"53","Arctic","Arctic",53,0.875379939209726,0.841144717676292,0.134453781512605,0.995840941367417
"54","Arctic","Arctic",54,0.838905775075988,0.841316082597892,0.129699248120301,0.994631280388979
"55","Arctic","Arctic",55,0.851063829787234,0.854254134178734,0.141342756183746,0.995109292344545
"56","Arctic","Arctic",56,0.857142857142857,0.846285665324308,0.135838150289017,0.995264006449012
"57","Arctic","Arctic",57,0.875379939209726,0.847999314540314,0.139670223084384,0.995874421412759
"58","Arctic","Arctic",58,0.854103343465046,0.8437151915003,0.133491686460808,0.995149065184437
"59","Arctic","Arctic",59,0.838905775075988,0.845428840716305,0.132692307692308,0.994657258064516
"60","Arctic","Arctic",60,0.90273556231003,0.836432182332277,0.134632819582956,0.996732693485808
"61","Arctic","Arctic",61,0.844984802431611,0.840801987833091,0.130149812734082,0.994829683698297
"62","Arctic","Arctic",62,0.841945288753799,0.842429954588296,0.130907372400756,0.994738972076083
"63","Arctic","Arctic",63,0.854103343465046,0.850741153285922,0.138902619871478,0.995188934549464
"64","Arctic","Arctic",64,0.832826747720365,0.84679976008911,0.132880698351115,0.994465687261018
"65","Arctic","Arctic",65,0.890577507598784,0.847313854853911,0.141204819277108,0.996372795969773
"66","Arctic","Arctic",66,0.86322188449848,0.853740039413932,0.142641888498242,0.995504046358278
"67","Arctic","Arctic",67,0.884498480243161,0.844657698569103,0.138307984790875,0.996160064672595
"68","Arctic","Arctic",68,0.848024316109423,0.854939593865136,0.141480730223124,0.995013960909453
"69","Arctic","Arctic",69,0.887537993920973,0.84063062291149,0.135687732342007,0.996242891957758
"70","Arctic","Arctic",70,0.857142857142857,0.853825721874732,0.141851106639839,0.995305633240112
