"","species","role","predicted","targetFW","sourceFW"
"86","Buteo lagopus","within_module_degree",0.152573079212727,"Arctic","Arctic"
"87","Buteo lagopus","among_module_conn",0.576480029520556,"Arctic","Arctic"
"88","Buteo lagopus","position1",1.22,"Arctic","Arctic"
"89","Buteo lagopus","position2",0.53,"Arctic","Arctic"
"90","Buteo lagopus","position3",0.23,"Arctic","Arctic"
"91","Buteo lagopus","position4",3.19,"Arctic","Arctic"
"92","Buteo lagopus","position5",2.25,"Arctic","Arctic"
"93","Buteo lagopus","position6",27.23,"Arctic","Arctic"
"94","Buteo lagopus","position7",0.06,"Arctic","Arctic"
"95","Buteo lagopus","position8",15.02,"Arctic","Arctic"
"96","Buteo lagopus","position9",0.28,"Arctic","Arctic"
"97","Buteo lagopus","position10",31.17,"Arctic","Arctic"
"98","Buteo lagopus","position11",20.84,"Arctic","Arctic"
"99","Buteo lagopus","position12",2.28,"Arctic","Arctic"
"100","Buteo lagopus","position13",4.93,"Arctic","Arctic"
"101","Buteo lagopus","position14",0.25,"Arctic","Arctic"
"102","Buteo lagopus","position15",0.08,"Arctic","Arctic"
"103","Buteo lagopus","position16",1.65,"Arctic","Arctic"
"104","Buteo lagopus","position17",3.21,"Arctic","Arctic"
"105","Buteo lagopus","position18",0.43,"Arctic","Arctic"
"106","Buteo lagopus","position19",0.08,"Arctic","Arctic"
"107","Buteo lagopus","position20",0.17,"Arctic","Arctic"
"108","Buteo lagopus","position21",0.06,"Arctic","Arctic"
"109","Buteo lagopus","position22",0.05,"Arctic","Arctic"
"110","Buteo lagopus","position23",0.94,"Arctic","Arctic"
"111","Buteo lagopus","position24",0.19,"Arctic","Arctic"
"112","Buteo lagopus","position25",0.1,"Arctic","Arctic"
"113","Buteo lagopus","position26",0.12,"Arctic","Arctic"
"114","Buteo lagopus","position27",0.11,"Arctic","Arctic"
"115","Buteo lagopus","position28",0.64,"Arctic","Arctic"
"116","Buteo lagopus","position29",0.16,"Arctic","Arctic"
"117","Buteo lagopus","position30",0,"Arctic","Arctic"
"118","Calcarius lapponicus","indegree",0.13,"Arctic","Arctic"
"119","Calcarius lapponicus","outdegree",8.99,"Arctic","Arctic"
"120","Calcarius lapponicus","betweeness",0.524063492063492,"Arctic","Arctic"
"121","Calcarius lapponicus","closeness",0.903503808512945,"Arctic","Arctic"
"122","Calcarius lapponicus","eigen",0.41237616413576,"Arctic","Arctic"
"123","Calcarius lapponicus","TL",1.24583922389862,"Arctic","Arctic"
"124","Calcarius lapponicus","OI",0.0234337123609927,"Arctic","Arctic"
"125","Calcarius lapponicus","within_module_degree",-0.688611268164377,"Arctic","Arctic"
"126","Calcarius lapponicus","among_module_conn",0.592588249845393,"Arctic","Arctic"
"127","Calcarius lapponicus","position1",0,"Arctic","Arctic"
"128","Calcarius lapponicus","position2",0.14,"Arctic","Arctic"
"129","Calcarius lapponicus","position3",0.12,"Arctic","Arctic"
"130","Calcarius lapponicus","position4",0.01,"Arctic","Arctic"
"131","Calcarius lapponicus","position5",19.44,"Arctic","Arctic"
"132","Calcarius lapponicus","position6",0.45,"Arctic","Arctic"
"133","Calcarius lapponicus","position7",0,"Arctic","Arctic"
"134","Calcarius lapponicus","position8",0.16,"Arctic","Arctic"
