"","metric","predicted","targetFW","sourceFW"
"116","meanTL",230.962510304219,"serengeti","pyrenees"
"117","maxTL",234.051362564511,"serengeti","pyrenees"
"118","motif1",224098.29,"serengeti","pyrenees"
"119","motif2",79294.94,"serengeti","pyrenees"
"120","motif3",7924.88,"serengeti","pyrenees"
"121","motif4",127833.75,"serengeti","pyrenees"
"122","motif5",298577.21,"serengeti","pyrenees"
"123","motif6",11475.65,"serengeti","pyrenees"
"124","motif7",4569.11,"serengeti","pyrenees"
"125","motif8",66755.27,"serengeti","pyrenees"
"126","motif9",26987.61,"serengeti","pyrenees"
"127","motif10",8012.94,"serengeti","pyrenees"
"128","motif11",150.94,"serengeti","pyrenees"
"129","motif12",2703.33,"serengeti","pyrenees"
"130","motif13",4039.81,"serengeti","pyrenees"
"131","diameter",4.11,"serengeti","pyrenees"
"132","n_clusters",4.37,"serengeti","pyrenees"
"133","modularity",0.112580311735963,"serengeti","pyrenees"
"134","connectance",0.128870622323003,"europe","pyrenees"
"135","meanTL",959.818893082862,"europe","pyrenees"
"136","maxTL",962.03532785041,"europe","pyrenees"
"137","motif1",9700152.23,"europe","pyrenees"
"138","motif2",3974849.94,"europe","pyrenees"
"139","motif3",304121.59,"europe","pyrenees"
"140","motif4",5726402.01,"europe","pyrenees"
"141","motif5",15528800.67,"europe","pyrenees"
"142","motif6",645470.89,"europe","pyrenees"
"143","motif7",206011.2,"europe","pyrenees"
"144","motif8",3166949.6,"europe","pyrenees"
"145","motif9",1042864.62,"europe","pyrenees"
"146","motif10",346053.79,"europe","pyrenees"
"147","motif11",8401.81,"europe","pyrenees"
"148","motif12",131876.33,"europe","pyrenees"
"149","motif13",168908.62,"europe","pyrenees"
"150","diameter",3,"europe","pyrenees"
"151","n_clusters",6.75,"europe","pyrenees"
"152","modularity",0.075859314324952,"europe","pyrenees"
"153","connectance",0.162789999690664,"arctic","serengeti"
"154","meanTL",73.9880032461867,"arctic","serengeti"
"155","maxTL",77.7525876681085,"arctic","serengeti"
"156","motif1",76358.99,"arctic","serengeti"
"157","motif2",35670.85,"arctic","serengeti"
"158","motif3",2305.67,"arctic","serengeti"
"159","motif4",72026.87,"arctic","serengeti"
"160","motif5",65038.47,"arctic","serengeti"
"161","motif6",2730.61,"arctic","serengeti"
"162","motif7",4802.72,"arctic","serengeti"
"163","motif8",12272.93,"arctic","serengeti"
"164","motif9",20276.14,"arctic","serengeti"
"165","motif10",3065.24,"arctic","serengeti"
"166","motif11",100.04,"arctic","serengeti"
"167","motif12",1358.6,"arctic","serengeti"
"168","motif13",1599.25,"arctic","serengeti"
"169","diameter",6.34,"arctic","serengeti"
"170","n_clusters",3.9,"arctic","serengeti"
"171","modularity",0.124763118631308,"arctic","serengeti"
"172","connectance",0.174069813920059,"pyrenees","serengeti"
"173","meanTL",62.3736490939357,"pyrenees","serengeti"
"174","maxTL",65.5378192143694,"pyrenees","serengeti"
"175","motif1",83034.37,"pyrenees","serengeti"
"176","motif2",38354.13,"pyrenees","serengeti"
"177","motif3",2819.79,"pyrenees","serengeti"
"178","motif4",65761.06,"pyrenees","serengeti"
"179","motif5",71126.09,"pyrenees","serengeti"
"180","motif6",4306.01,"pyrenees","serengeti"
"181","motif7",4163.83,"pyrenees","serengeti"
"182","motif8",18349.49,"pyrenees","serengeti"
"183","motif9",18562.8,"pyrenees","serengeti"
"184","motif10",3518.35,"pyrenees","serengeti"
"185","motif11",95.77,"pyrenees","serengeti"
"186","motif12",1466.22,"pyrenees","serengeti"
"187","motif13",1787.19,"pyrenees","serengeti"
"188","diameter",5.82,"pyrenees","serengeti"
"189","n_clusters",4.18,"pyrenees","serengeti"
"190","modularity",0.123616083607503,"pyrenees","serengeti"
"191","connectance",0.0937020413949271,"serengeti","serengeti"
"192","meanTL",34.0492127229395,"serengeti","serengeti"
"193","maxTL",40.4343692319597,"serengeti","serengeti"
"194","motif1",124939.49,"serengeti","serengeti"
"195","motif2",45790.21,"serengeti","serengeti"
"196","motif3",2968.16,"serengeti","serengeti"
"197","motif4",105590.36,"serengeti","serengeti"
"198","motif5",151915.85,"serengeti","serengeti"
"199","motif6",4361.83,"serengeti","serengeti"
"200","motif7",3626.99,"serengeti","serengeti"
"201","motif8",23338.56,"serengeti","serengeti"
"202","motif9",19359.6,"serengeti","serengeti"
"203","motif10",3066.88,"serengeti","serengeti"
"204","motif11",59.55,"serengeti","serengeti"
"205","motif12",1065.88,"serengeti","serengeti"
"206","motif13",1555.98,"serengeti","serengeti"
"207","diameter",6.73,"serengeti","serengeti"
"208","n_clusters",4.59,"serengeti","serengeti"
"209","modularity",0.182195628498197,"serengeti","serengeti"
"210","connectance",0.164292806285752,"europe","serengeti"
"211","meanTL",265.551537108779,"europe","serengeti"
"212","maxTL",268.45285636784,"europe","serengeti"
"213","motif1",15209067.29,"europe","serengeti"
"214","motif2",6451559.35,"europe","serengeti"
"215","motif3",510777.21,"europe","serengeti"
"216","motif4",11454119.18,"europe","serengeti"
"217","motif5",12965913.6,"europe","serengeti"
"218","motif6",655269.42,"europe","serengeti"
"219","motif7",736901.38,"europe","serengeti"
"220","motif8",3114258.79,"europe","serengeti"
"221","motif9",3329626.48,"europe","serengeti"
"222","motif10",609492.94,"europe","serengeti"
"223","motif11",16251.04,"europe","serengeti"
"224","motif12",246745.5,"europe","serengeti"
"225","motif13",308954.07,"europe","serengeti"
"226","diameter",4.95,"europe","serengeti"
"227","n_clusters",6,"europe","serengeti"
"228","modularity",0.119243372561533,"europe","serengeti"
"229","connectance",0.11915975,"arctic","europe"
"230","meanTL",4.75672765594772,"arctic","europe"
"231","maxTL",8.63162969859653,"arctic","europe"
"232","motif1",45302.57,"arctic","europe"
"233","motif2",19745.52,"arctic","europe"
"234","motif3",771.4,"arctic","europe"
"235","motif4",28772.04,"arctic","europe"
"236","motif5",84231.48,"arctic","europe"
"237","motif6",2786.82,"arctic","europe"
"238","motif7",707.81,"arctic","europe"
"239","motif8",12741.12,"arctic","europe"
"240","motif9",2964.34,"arctic","europe"
"241","motif10",1042.86,"arctic","europe"
"242","motif11",37.89,"arctic","europe"
"243","motif12",481.45,"arctic","europe"
"244","motif13",510.07,"arctic","europe"
"245","diameter",7.45,"arctic","europe"
"246","n_clusters",4.51,"arctic","europe"
"247","modularity",0.123145165466254,"arctic","europe"
"248","connectance",0.124679326960241,"pyrenees","europe"
"249","meanTL",4.69913536662941,"pyrenees","europe"
"250","maxTL",8.09949608516475,"pyrenees","europe"
"251","motif1",49507.63,"pyrenees","europe"
"252","motif2",18920.63,"pyrenees","europe"
"253","motif3",1082.94,"pyrenees","europe"
"254","motif4",28615.49,"pyrenees","europe"
"255","motif5",75579.46,"pyrenees","europe"
"256","motif6",2847.86,"pyrenees","europe"
"257","motif7",935.39,"pyrenees","europe"
"258","motif8",14295.62,"pyrenees","europe"
"259","motif9",4112.81,"pyrenees","europe"
"260","motif10",1441.71,"pyrenees","europe"
"261","motif11",50.01,"pyrenees","europe"
"262","motif12",649.59,"pyrenees","europe"
"263","motif13",713.11,"pyrenees","europe"
"264","diameter",6.79,"pyrenees","europe"
"265","n_clusters",4.31,"pyrenees","europe"
"266","modularity",0.131923579558944,"pyrenees","europe"
"267","connectance",0.100060550123737,"serengeti","europe"
"268","meanTL",4.36945466888415,"serengeti","europe"
"269","maxTL",7.96623269525691,"serengeti","europe"
"270","motif1",129773.43,"serengeti","europe"
"271","motif2",57533.59,"serengeti","europe"
"272","motif3",1699.13,"serengeti","europe"
"273","motif4",86332.67,"serengeti","europe"
"274","motif5",278036.78,"serengeti","europe"
"275","motif6",7817.25,"serengeti","europe"
"276","motif7",1782.92,"serengeti","europe"
"277","motif8",35335.08,"serengeti","europe"
"278","motif9",7672.99,"serengeti","europe"
"279","motif10",2224.76,"serengeti","europe"
"280","motif11",69.14,"serengeti","europe"
"281","motif12",968.68,"serengeti","europe"
"282","motif13",1101.39,"serengeti","europe"
"283","diameter",7.67,"serengeti","europe"
"284","n_clusters",4.29,"serengeti","europe"
"285","modularity",0.127247438807047,"serengeti","europe"
"286","connectance",0.0920049286289733,"europe","europe"
"287","meanTL",22.6457739019405,"europe","europe"
"288","maxTL",26.87172483479,"europe","europe"
