"","metric","predicted","targetFW","sourceFW"
"102","motif4",10060172.96,"Euro","Serengeti2"
"103","motif5",29984122.52,"Euro","Serengeti2"
"104","motif6",22168427.83,"Euro","Serengeti2"
"105","motif7",14524314.38,"Euro","Serengeti2"
"106","motif8",14616259.28,"Euro","Serengeti2"
"107","motif9",6020889.29,"Euro","Serengeti2"
"108","motif10",4864065.56,"Euro","Serengeti2"
"109","motif11",14718490.27,"Euro","Serengeti2"
"110","motif12",20852008.21,"Euro","Serengeti2"
"111","motif13",4280435.78,"Euro","Serengeti2"
"112","diameter",3.69,"Euro","Serengeti2"
"113","n_clusters",6.74,"Euro","Serengeti2"
"114","modularity",0.12127078203701,"Euro","Serengeti2"
"115","connectance",0.255028743836533,"Serengeti2","Euro"
"116","meanTL",1.83691740200388,"Serengeti2","Euro"
"117","maxTL",3.01905121166842,"Serengeti2","Euro"
"118","motif1",777.57,"Serengeti2","Euro"
"119","motif2",3880.79,"Serengeti2","Euro"
"120","motif3",14.58,"Serengeti2","Euro"
"121","motif4",834.53,"Serengeti2","Euro"
"122","motif5",9303.48,"Serengeti2","Euro"
"123","motif6",2149.88,"Serengeti2","Euro"
"124","motif7",214.12,"Serengeti2","Euro"
"125","motif8",1154.84,"Serengeti2","Euro"
"126","motif9",100.47,"Serengeti2","Euro"
"127","motif10",139.04,"Serengeti2","Euro"
"128","motif11",108.39,"Serengeti2","Euro"
"129","motif12",364.55,"Serengeti2","Euro"
"130","motif13",67.21,"Serengeti2","Euro"
"131","diameter",3.95,"Serengeti2","Euro"
"132","n_clusters",3.24,"Serengeti2","Euro"
"133","modularity",0.10374677212425,"Serengeti2","Euro"
