"","Species.ID","ITIS.code","Catalogue.of.Life","Class","Order","Family","Species","Author","synonym1","synonym2","synonym3"
"16","A16",662330,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Discoglossus pictus","Otth, 1837Ê","Pseudis picta","Pseudes pictus","Colodactylus coerulescens"
"17","A17",662331,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Discoglossus sardus","Tschudi in Otth, 1837Ê","Pseudis sardoa","Rana sardus","Rana sardoa"
"18","A18",775916,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Calotriton asper","(Dugs, 1852)Ê","Euproctus asper","Hemitriton asper","Triton glacialis"
"19","A19",668372,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Euproctus montanus","(Savi, 1838)Ê","Megapterna montana","Triturus montanus","Molge montana"
"20","A20",668373,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Euproctus platycephalus","(Gravenhorst, 1829)Ê","Molge platycephala","Euproctus rusconii","Phatnomatorhina platycephalus"
"21","A21",662424,"v1.9 rev 2126ab0","Amphibia","Anura","Hylidae","Hyla arborea","(Linnaeus, 1758)Ê","Rana arborea","Rana viridis","Hyla viridis"
"22","A22",662524,"v1.9 rev 2126ab0","Amphibia","Anura","Hylidae","Hyla intermedia","Boulenger, 1882Ê","Hylaria variegata","Hyla italica","Hyla arborea intermedia"
"23","A23",662563,"v1.9 rev 2126ab0","Amphibia","Anura","Hylidae","Hyla meridionalis","Boettger, 1874Ê","Hyla perezii","Hyla barytonus","Hyla africana"
"24","A24",662633,"v1.9 rev 2126ab0","Amphibia","Anura","Hylidae","Hyla sarda","(De Betta, 1853)Ê","Dendrohyas sarda","Hyla arborea sarda",NA
"25","A25",662634,"v1.9 rev 2126ab0","Amphibia","Anura","Hylidae","Hyla savignyi","Audouin, 1827Ê","Hyla arborea savignyi",NA,NA
"26","A26",775923,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lyciasalamandra antalyana","(Basoglu and Baran, 1976)Ê","Mertensiella luschani antalyana","Lyciasalamandra antalyana antalyana","Lyciasalamandra antalyana gocmeni"
"27","A27",775924,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lyciasalamandra atifi","(Basoglu, 1967)Ê","Mertensiella luschani atifi","Lyciasalamandra atifi atifi","Lyciasalamandra atifi bayrami"
"28","A28",775925,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lyciasalamandra billae","(Franzen and Klewen, 1987)Ê","Lyciasalamandra irfani","Lyciasalamandra yehudahi","Lyciasalamandra arikani"
"29","A29",775926,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lyciasalamandra fazilae","(Basoglu and Atatr, 1975)Ê","Mertensiella luschani fazilae","Lyciasalamandra fazilae fazilae","Lyciasalamandra fazilae ulfetae"
"30","A30",775927,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lyciasalamandra flavimembris","(Mutz and Steinfartz, 1995)Ê","Mertensiella luschani flavimembris","Lyciasalamandra flavimembris flavimembris","Lyciasalamandra flavimembris ilgazi"
"31","A31",775928,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lyciasalamandra helverseni","(Pieper, 1963)Ê","Mertensiella luschani helverseni",NA,NA
"32","A32",775929,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lyciasalamandra luschani","(Steindachner, 1891)Ê","Salamandra luschani","Molge luschani","Mertensiella luschani luschani"
"33","A33",668374,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Mertensiella caucasica","(Waga, 1876)Ê","Exaeretus caucasicus","Salamandra caucasica","Salamandra caucasia"
"34","A34",668375,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Neurergus crocatus","Cope, 1862Ê","Molge crocata","Triton crocatus","Triturus crocatus crocatus"
"35","A35",668378,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Neurergus strauchii","(Steindachner, 1887)Ê","Molge strauchii","Neurergus crocatus strauchii","Triturus crocatus strauchii"
"36","A36",664729,"v1.9 rev 2126ab0","Amphibia","Anura","Pelobatidae","Pelobates cultripes","(Cuvier, 1829)Ê","Rana cultripes","Rana calcarata","Cultripes provincialis"
"37","A37",664730,"v1.9 rev 2126ab0","Amphibia","Anura","Pelobatidae","Pelobates fuscus","(Laurenti, 1768)Ê","Bufo fuscus","Rana alliacea","Bombinator fuscus"
"38","A38",664731,"v1.9 rev 2126ab0","Amphibia","Anura","Pelobatidae","Pelobates syriacus","Boettger, 1889Ê","Pelobates transcaucasicus","Pseudopelobates transcaucasicus","Pelobates syriacus boettgeri"
"39","A39",664733,"v1.9 rev 2126ab0","Amphibia","Anura","Pelodytidae","Pelodytes caucasicus","Boulenger, 1896Ê","Pelodytopsis caucasica","Pelodytes punctatus caucasicus",NA
"40","A40",664734,"v1.9 rev 2126ab0","Amphibia","Anura","Pelodytidae","Pelodytes ibericus","Snchez-Herraz, Barbadillo-Escriv, Machordom and Sanchz, 2000Ê",NA,NA,NA
"41","A41",664735,"v1.9 rev 2126ab0","Amphibia","Anura","Pelodytidae","Pelodytes punctatus","(Daudin, 1802)Ê","Rana punctata","Rana plicata","Rana daudini"
"42","A42",668389,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Pleurodeles waltl","Michahelles, 1830Ê","Salamandra funebris","Triton costatus","Salamandra major"
"43","A43",208253,"v1.9 rev 2126ab0","Amphibia","Caudata","Proteidae","Proteus anguinus","Laurenti, 1768Ê","Siren anguina","Caledon anguinus","Apneumona anguina"
"44","A44",665263,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana arvalis","Nilsson, 1842Ê","Rana oxyrrhinus","Rana angustifrongs","Rana oxyrhina"
"45","A45",775178,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax bedriagae","(Camerano, 1882)Ê","Rana bedriagae","Rana levantina","Hylarana bedriagae"
"46","A46",775179,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax bergeri","(Gnther in Engelmann, Fritzsche, Gnther and Obst, 1986)Ê","Rana bergeri","Rana hispanica","Hylarana bergeri"
"47","A47",775181,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax cerigensis","(Beerli, Hotz, Tunner, Heppich and Uzzell, 1994)Ê","Rana cerigensis","Hylarana cerigensis",NA
"48","A48",775183,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax cretensis","(Beerli, Hotz, Tunner, Heppich and Uzzell, 1994)Ê","Rana cretensis","Hylarana cretensis",NA
"49","A49",665296,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana dalmatina","Fitzinger in Bonaparte, 1838Ê","Rana agilis",NA,NA
"50","A50",775185,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax epeiroticus","(Schneider, Sofianidou and Kyriakopoulou-Sklavounou, 1984)Ê","Rana epeirotica","Hylarana epeirotica",NA
"51","A51",775188,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax esculentus","(Gayda, 1940)Ê",NA,NA,NA
"52","A52",665317,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana graeca","Boulenger, 1891Ê","Rana temporaria bosniensis",NA,NA
"53","A53",NA,NA,"Amphibia","Anura","Ranidae","Pelophylax kl. grafi","(Crochet, Dubois, Ohler & Tunner, 1995)",NA,NA,NA
"54","A54",NA,NA,"Amphibia","Anura","Ranidae","Pelophylax kl. hispanicus","(Bonaparte, 1839)",NA,NA,NA
"55","A55",665335,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana iberica","Boulenger, 1879Ê","Rana temporaria iberica",NA,NA
"56","A56",665338,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana italica","Dubois, 1987Ê","Rana graeca italica",NA,NA
"57","A57",775188,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax kurtmuelleri","(Gayda, 1940)","Rana kurtmuelleri","Rana balcanica","Hylarana kurtmuelleri"
"58","A58",665351,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana latastei","Boulenger, 1879Ê",NA,NA,NA
"59","A59",775190,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax lessonae","(Camerano, 1882)Ê","Rana esculenta","Rana lessonae","Rana lessonae pannonica"
"60","A60",665365,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana macrocnemis","Boulenger, 1885Ê","Rana camerani","Rana holtzi","Rana macrocnemis camerani"
"61","A61",775192,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax perezi","(Lpez-Seoane, 1885)Ê","Rana grafi","Rana perezi","Hylarana perezi"
"62","A62",665405,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana pyrenaica","Serra-Cobo, 1993Ê",NA,NA,NA
"63","A63",775195,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax ridibundus","(Pallas, 1771)Ê","Rana ridibunda","Bufo ridibundus","Rana cachinnans"
"64","A64",775197,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax shqipericus","(Hotz, Uzzell, Gnther, Tunner and Heppich, 1987)Ê","Rana shqiperica","Hylarana shqiperica",NA
"65","A65",775212,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana tavasensis","Baran and Atatr, 1986Ê","Rana macrocnemis tavasensis",NA,NA
"66","A66",173444,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana temporaria","Linnaeus, 1758Ê","Rana honnorati","Rana hyla","Rana muta"
"67","A67",668391,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Salamandra atra","Laurenti, 1768Ê","Salamandra fusca","Lacerta atra","Geotriton fuscus"
"68","A68",668392,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Salamandra corsica","Savi, 1838Ê","Salamandra moncherina","Salamandra moncheriana","Salamandra maculosa corsica"
"69","A69",668393,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Salamandra infraimmaculata","Martens, 1885Ê","Salamandra semenovi","Salamandra maculosa infraimmaculata","Salamandra maculosa orientalis"
"70","A70",668394,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Salamandra lanzai","Nascetti, Andreone, Capula and Bullini, 1988Ê",NA,NA,NA
"71","A71",668396,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Salamandra salamandra","(Linnaeus, 1758)Ê","Lacerta salamandra","Salamandra candida","Salamandra maculosa"
"72","A72",668238,"v1.9 rev 2126ab0","Amphibia","Caudata","Hynobiidae","Salamandrella keyserlingii","Dybowski, 1870Ê","Isodactylium wosnessenskyi","Salamandrella wosnessenskyi","Hynobius keyserlingii"
"73","A73",775937,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Salamandrina perspicillata","(Savi, 1821)Ê","Salamandra perspicillata","Seiranota condylura","Salamandra savi"
"74","A74",775938,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Salamandrina terdigitata","(Bonnaterre, 1789)Ê","Salamandrina terdigitata","Salamandra tridactyla","Molge tridactyla"
"75","A75",668339,"v1.9 rev 2126ab0","Amphibia","Caudata","Plethodontidae","Speleomantes ambrosii","(Lanza, 1955)Ê","Hydromantes ambrosii","Hydromantoides ambrosii","Hydromantes italicus ambrosii"
"76","A76",668340,"v1.9 rev 2126ab0","Amphibia","Caudata","Plethodontidae","Speleomantes flavus","(Stefani, 1969)Ê","Hydromantes flavus","Hydromantoides flavus","Hydromantes genei flavus"
"77","A77",668341,"v1.9 rev 2126ab0","Amphibia","Caudata","Plethodontidae","Speleomantes genei","(Temminck and Schlegel, 1838)Ê","Atylodes genei","Salamandra genei","Geotriton genei"
"78","A78",668342,"v1.9 rev 2126ab0","Amphibia","Caudata","Plethodontidae","Speleomantes imperialis","(Stefani, 1969)Ê","Hydromantes imperialis","Hydromantoides imperialis","Hydromantes genei imperialis"
"79","A79",668343,"v1.9 rev 2126ab0","Amphibia","Caudata","Plethodontidae","Speleomantes italicus","(Dunn, 1923)Ê","Hydromantes italicus","Hydromantoides italicus","Hydromantes genei italicus"
"80","A80",775912,"v1.9 rev 2126ab0","Amphibia","Caudata","Plethodontidae","Speleomantes sarrabusensis","Lanza, Leo, Forti, Cimmaruta, Caputo and Nascetti, 2001Ê","Hydromantes sarrabusensis","Speleomantes imperialis sarrabusensis",NA
"81","A81",668344,"v1.9 rev 2126ab0","Amphibia","Caudata","Plethodontidae","Speleomantes strinatii","(Aellen, 1958)Ê","Hydromantes strinatii","Hydromantes italicus strinatii","Hydromantes genei strinatii"
"82","A82",668345,"v1.9 rev 2126ab0","Amphibia","Caudata","Plethodontidae","Speleomantes supramontis","(Lanza, Nascetti and Bullini, 1986)Ê","Hydromantes supramontis",NA,NA
"83","A83",775917,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Ichthyosaura alpestris","(Laurenti, 1768)Ê","Triturus alpestris","Triton alpestris","Proteus tritonius"
"84","A84",775918,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lissotriton boscai","(Lataste in Tourneville, 1879)Ê","Triturus boscai","Pelonectes boscai","Molge boscae"
"85","A85",668400,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Triturus carnifex","(Laurenti, 1768)Ê","Triton carnifex","Gecko carnifex","Salamandra carnifex"
"86","A86",668401,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Triturus cristatus","(Laurenti, 1768)Ê","Lacertus aquatilis","Triton cristatus","Triton americanus"
"87","A87",668402,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Triturus dobrogicus","(Kiritzescu, 1903)Ê","Molge macrosoma","Triton cristatus dobrogicus","Triton cristatus danubialis"
"88","A88",775919,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lissotriton helveticus","(Razoumovsky, 1789)Ê","Triturus helveticus","Lacerta helvetica","Lacerta paradoxa"
"89","A89",775920,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lissotriton italicus","(Peracca, 1898)Ê","Triturus italicus","Molge italica","Triton italicus"
"90","A90",668405,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Triturus karelinii","(Strauch, 1870)Ê","Triton karelinii","Triton longipes","Turanomolge mensbieri"
"91","A91",668406,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Triturus marmoratus","(Latreille, 1800)Ê","Salamandra marmorata","Triton marmoratus","Salamandra variegata"
"92","A92",775921,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lissotriton montandoni","(Boulenger, 1880)Ê","Triturus montandoni","Triton montandoni","Diemictylus montandoni"
"93","A93",668408,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Triturus pygmaeus","(Wolterstorff, 1905)Ê","Triturus marmoratus pygmaeus",NA,NA
"94","A94",775931,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Ommatotriton vittatus","(Gray in Jenyns, 1835)Ê","Triturus vittatus","Triton vittatus","Salamandra vittatus"
"95","A95",775922,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Lissotriton vulgaris","(Linnaeus, 1758)Ê","Triturus vulgaris","Lacerta vulgaris","Lophinus vulgaris"
"96","A96",775180,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Pelophylax caralitanus","(Arikan, 1988)Ê","Rana caralitana","Hylarana caralitana","Rana ridibunda caralitana"
"97","A97",775930,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Ommatotriton ophryticus","(Berthold, 1846)Ê","Triton ophryticus","Molge vittata ophrytica","Molge vittatus ophryticus"
"98","A98",665365,"v1.9 rev 2126ab0","Amphibia","Anura","Ranidae","Rana macrocnemis holtzi","Werner, 1898Ê","Rana camerani","Rana holtzi","Rana macrocnemis camerani"
"99","A99",775915,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Calotriton arnoldi","Carranza and Amat, 2005Ê",NA,NA,NA
"100","A100",1103437,"v1.9 rev 2126ab0","Amphibia","Anura","Bufonidae","Bufotes balearica","(Boettger, 1880)Ê",NA,NA,NA
"101","A101",1103484,"v1.9 rev 2126ab0","Amphibia","Anura","Bufonidae","Bufotes boulengeri","(Lataste, 1879)Ê","Pseudepidalea boulengeri","Bufo hemprichi","Bufo boulengeri"
"102","A102",1103430,"v1.9 rev 2126ab0","Amphibia","Anura","Bufonidae","Bufotes sicula","(Stck, Sicilia, Belfiore, Buckley, Lo-Brutto, Lo-Valvo and Arculeo, 2008)Ê",NA,NA,NA
"103","A103",1103415,"v1.9 rev 2126ab0","Amphibia","Anura","Bufonidae","Bufotes variabilis","(Pallas, 1769)Ê","Pseudepidalea variabilis","Rana variabilis","Rana bufina"
"104","A104",775940,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Triturus macedonicus","(Karaman, 1922)Ê","Molge karelinii macedonica","Triturus carnifex macedonicus",NA
"105","B1",174474,"v1.9 rev 2126ab0","Aves","Gaviiformes","Gaviidae","Gavia stellata","(Pontoppidan, 1763)Ê",NA,NA,NA
"106","B2",174471,"v1.9 rev 2126ab0","Aves","Gaviiformes","Gaviidae","Gavia arctica","(Linnaeus, 1758)Ê",NA,NA,NA
"107","B3",174469,"v1.9 rev 2126ab0","Aves","Gaviiformes","Gaviidae","Gavia immer","(Brunnich, 1764)Ê",NA,NA,NA
"108","B4",174470,"v1.9 rev 2126ab0","Aves","Gaviiformes","Gaviidae","Gavia adamsii","(G. R. Gray, 1859)Ê",NA,NA,NA
"109","B5",563259,"v1.9 rev 2126ab0","Aves","Podicipediformes","Podicipedidae","Tachybaptus ruficollis","(Pallas, 1764)Ê","Podiceps ruficollis","Colymbus ruficollis",NA
"110","B6",174491,"v1.9 rev 2126ab0","Aves","Podicipediformes","Podicipedidae","Podiceps cristatus","(Linnaeus, 1758)Ê",NA,NA,NA
"111","B7",174479,"v1.9 rev 2126ab0","Aves","Podicipediformes","Podicipedidae","Podiceps grisegena","(Boddaert, 1783)Ê",NA,NA,NA
"112","B8",174482,"v1.9 rev 2126ab0","Aves","Podicipediformes","Podicipedidae","Podiceps auritus","(Linnaeus, 1758)Ê",NA,NA,NA
"113","B9",174485,"v1.9 rev 2126ab0","Aves","Podicipediformes","Podicipedidae","Podiceps nigricollis","C. L. Brehm, 1831Ê",NA,NA,NA
"114","B10",174536,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Fulmarus glacialis","(Linnaeus, 1761)Ê",NA,NA,NA
"115","B11",562557,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Pterodroma feae","(Salvadori, 1900)Ê",NA,NA,NA
"116","B12",562558,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Pterodroma madeira","Mathews, 1934Ê",NA,NA,NA
"117","B13",554144,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Bulweria bulwerii","(Jardine & Selby, 1828)Ê","Bulweria bulweria",NA,NA
"118","B14",203446,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Calonectris diomedea","(Scopoli, 1769)Ê","Puffinus diomedea",NA,NA
"119","B15",174555,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Puffinus puffinus","(Brunnich, 1764)Ê","Puffinus puffinus puffinus",NA,NA
"120","B16",562599,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Puffinus yelkouan","(Acerbi, 1827)Ê",NA,NA,NA
"121","B17",723254,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Puffinus mauretanicus","Lowe, 1921Ê",NA,NA,NA
"122","B18",174559,"v1.9 rev 2126ab0","Aves","Procellariiformes","Procellariidae","Puffinus assimilis","Gould, 1838Ê",NA,NA,NA
"123","B19",174621,"v1.9 rev 2126ab0","Aves","Procellariiformes","Hydrobatidae","Pelagodroma marina","(Latham, 1790)Ê",NA,NA,NA
"124","B20",174663,"v1.9 rev 2126ab0","Aves","Procellariiformes","Hydrobatidae","Hydrobates pelagicus","(Linnaeus, 1758)Ê",NA,NA,NA
"125","B21",174628,"v1.9 rev 2126ab0","Aves","Procellariiformes","Hydrobatidae","Oceanodroma leucorhoa","(Vieillot, 1818)Ê",NA,NA,NA
"126","B22",174636,"v1.9 rev 2126ab0","Aves","Procellariiformes","Hydrobatidae","Oceanodroma castro","(Harcourt, 1851)Ê","Oceanodroma castro castro",NA,NA
"127","B23",174673,"v1.9 rev 2126ab0","Aves","Pelecaniformes","Phaethontidae","Phaethon aethereus","Linnaeus, 1758Ê",NA,NA,NA
"128","B24",174712,"v1.9 rev 2126ab0","Aves","Pelecaniformes","Sulidae","Morus bassanus","(Linnaeus, 1758)Ê","Sula bassanus","Pelecanus bassanus","Sula bassana"
"129","B25",174715,"v1.9 rev 2126ab0","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax carbo","(Linnaeus, 1761)",NA,NA,NA
"130","B26",174733,"v1.9 rev 2126ab0","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax aristotelis","(Linnaeus, 1761)",NA,NA,NA
"131","B27",561972,"v1.9 rev 2126ab0","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax pygmeus","(Pallas, 1773)","Phalacrocorax pygmeus",NA,NA
"132","B28",174693,"v1.9 rev 2126ab0","Aves","Pelecaniformes","Pelecanidae","Pelecanus onocrotalus","Linnaeus, 1758Ê",NA,NA,NA
"133","B29",174692,"v1.9 rev 2126ab0","Aves","Pelecaniformes","Pelecanidae","Pelecanus crispus","Bruch, 1832Ê",NA,NA,NA
"134","B30",174781,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Ardea cinerea","Linnaeus, 1758Ê",NA,NA,NA
"135","B31",174791,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Ardea purpurea","Linnaeus, 1766Ê",NA,NA,NA
"136","B32",554135,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Ardea alba","(Linnaeus, 1758)Ê","Casmerodius albus","Egretta alba",NA
"137","B33",174816,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Egretta garzetta","(Linnaeus, 1766)Ê",NA,NA,NA
"138","B34",174864,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Ardeola ralloides","(Scopoli, 1769)Ê",NA,NA,NA
"139","B35",174803,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Bubulcus ibis","(Linnaeus, 1758)Ê","Bubulcus ibis ibis",NA,NA
"140","B36",174832,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Nycticorax nycticorax","(Linnaeus, 1758)Ê",NA,NA,NA
"141","B37",174850,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Ixobrychus minutus","(Linnaeus, 1766)Ê",NA,NA,NA
"142","B38",174859,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ardeidae","Botaurus stellaris","(Linnaeus, 1758)Ê",NA,NA,NA
"143","B39",174909,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ciconiidae","Ciconia nigra","(Linnaeus, 1758)Ê",NA,NA,NA
"144","B40",174907,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Ciconiidae","Ciconia ciconia","(Linnaeus, 1758)Ê",NA,NA,NA
"145","B41",174924,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Threskiornithidae","Plegadis falcinellus","(Linnaeus, 1766)Ê","Plegadis falcinellus falcinellus",NA,NA
"146","B42",174933,"v1.9 rev 2126ab0","Aves","Ciconiiformes","Threskiornithidae","Platalea leucorodia","Linnaeus, 1758Ê",NA,NA,NA
"147","B43",824111,"v1.9 rev 2126ab0","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus roseus","Pallas, 1811Ê",NA,NA,NA
"148","B44",174985,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Cygnus olor","(Gmelin, 1789)Ê",NA,NA,NA
"149","B45",174990,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Cygnus cygnus","(Linnaeus, 1758)Ê","Olor cygnus",NA,NA
"150","B46",174987,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Cygnus columbianus","(Ord, 1815)Ê","Olor columbianus",NA,NA
"151","B47",175024,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anser fabalis","(Latham, 1787)Ê",NA,NA,NA
"152","B48",175036,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anser brachyrhynchus","Baillon, 1834Ê","Anser fabalis brachyrhynchus",NA,NA
"153","B49",175020,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anser albifrons","(Scopoli, 1769)Ê",NA,NA,NA
"154","B50",175033,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anser erythropus","(Linnaeus, 1758)Ê",NA,NA,NA
"155","B51",175028,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anser anser","(Linnaeus, 1758)Ê",NA,NA,NA
"156","B53",175014,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Branta leucopsis","(Bechstein, 1803)Ê",NA,NA,NA
"157","B54",175011,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Branta bernicla","(Linnaeus, 1758)Ê","Anas bernicla",NA,NA
"158","B56",175056,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Tadorna ferruginea","(Pallas, 1764)Ê",NA,NA,NA
"159","B57",175055,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Tadorna tadorna","(Linnaeus, 1758)Ê",NA,NA,NA
"160","B58",175092,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anas penelope","Linnaeus, 1758Ê",NA,NA,NA
"161","B59",175073,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anas strepera","Linnaeus, 1758Ê",NA,NA,NA
"162","B60",175081,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anas crecca","Linnaeus, 1758Ê",NA,NA,NA
"163","B61",175063,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anas platyrhynchos","Linnaeus, 1758Ê","Anas oustaleti",NA,NA
"164","B62",175074,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anas acuta","Linnaeus, 1758Ê","Anas acuta acuta",NA,NA
"165","B63",175093,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anas querquedula","Linnaeus, 1758Ê",NA,NA,NA
"166","B64",175096,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Anas clypeata","Linnaeus, 1758Ê",NA,NA,NA
"167","B65",553925,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Marmaronetta angustirostris","(Mntries, 1832)Ê","Anas angustirostris",NA,NA
"168","B66",175234,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Netta rufina","(Pallas, 1773)Ê",NA,NA,NA
"169","B67",175126,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Aythya ferina","(Linnaeus, 1758)Ê",NA,NA,NA
"170","B68",175139,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Aythya nyroca","(Guldenstadt, 1770)Ê",NA,NA,NA
"171","B69",175135,"v1.9 rev 2126ab0","Aves","Anseriformes","Anatidae","Aythya fuligula","(Linnaeus, 1758)Ê",NA,NA,NA
